tweetText,tweetId,createdAt,screenName,image,followers,favorite,retweetcount,longitude,latitude
@Dheeraj4696 @PawanKalyanFan ala fans pawankalyan ani arusthunte chiru inside feeling nalo charan lendi veedi lo antha speciality emundi ani,511939632414875648,Tue Sep 16 23:38:14 IST 2014,MrVamsheeReddy,http://pbs.twimg.com/profile_images/507437766024511490/ab0fbv-o_bigger.jpeg,301,496,0,79.5418239,18.0017429
RT @PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV a…,511939429473472513,Tue Sep 16 23:37:26 IST 2014,harishveera,http://pbs.twimg.com/profile_images/511947226730344448/-_YGVdF2_bigger.jpeg,213,665,6,0.0,0.0
@PawanKalyanFan ninna pawan pawankalyan ani arusthu gola gola chesthunnaru kada fans so chiru ki mandi ala annadu :p @Dheeraj4696,511938915859980288,Tue Sep 16 23:35:23 IST 2014,MrVamsheeReddy,http://pbs.twimg.com/profile_images/507437766024511490/ab0fbv-o_bigger.jpeg,301,496,0,79.5418239,18.0017429
RT @PawanKalyanFan: #PawanKalyan naa devudu ayya naa amma  naana tarwata naa boss "PawanKalyan" - @ganeshbandla at #GAV audio launch,511938103695908865,Tue Sep 16 23:32:09 IST 2014,pawan_rockz,http://pbs.twimg.com/profile_images/506646774350901248/_bkYzBiT_bigger.jpeg,189,1653,2,0.0,0.0
RT @PawanKalyanFan: #PawanKalyan naa devudu ayya naa amma  naana tarwata naa boss "PawanKalyan" - @ganeshbandla at #GAV audio launch,511937560138883072,Tue Sep 16 23:30:00 IST 2014,genuinestart,http://pbs.twimg.com/profile_images/510356244264013824/I6OYlRTy_bigger.jpeg,294,1184,2,0.0,0.0
RT @PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV a…,511937533383827456,Tue Sep 16 23:29:53 IST 2014,genuinestart,http://pbs.twimg.com/profile_images/510356244264013824/I6OYlRTy_bigger.jpeg,294,1184,6,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511937229170950144,Tue Sep 16 23:28:41 IST 2014,sasipowerstar,http://pbs.twimg.com/profile_images/508682245469523968/84QKVOZP_bigger.jpeg,28,2216,214,0.0,0.0
RT @PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV a…,511936976153743361,Tue Sep 16 23:27:41 IST 2014,RaviRajPatil15,http://pbs.twimg.com/profile_images/418593827343962112/ie2vBhED_bigger.jpeg,1364,85,6,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511936510787321856,Tue Sep 16 23:25:50 IST 2014,bharath747,http://pbs.twimg.com/profile_images/511440560368795649/0llP8dgf_bigger.jpeg,574,368,214,0.0,0.0
"Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV audio function.,511936494370832384,Tue Sep 16 23:25:46 IST 2014,PawanKalyanFan,http://pbs.twimg.com/profile_images/511948074319503360/s68acgPu_bigger.jpeg,37765,6170,6,0.0,0.0
#PawanKalyan naa devudu ayya naa amma  naana tarwata naa boss "PawanKalyan" - @ganeshbandla at #GAV audio launch,511936220046589952,Tue Sep 16 23:24:40 IST 2014,PawanKalyanFan,http://pbs.twimg.com/profile_images/511948074319503360/s68acgPu_bigger.jpeg,37765,6170,2,0.0,0.0
RT @PawanKalyanFan: #PawanKalyan's #AttarintikiDaredi won 6 awards @ #SIIMA2014 @Samanthaprabhu2Best movie#Trivikram @ThisIsDSP  cinema…,511935805997056000,Tue Sep 16 23:23:02 IST 2014,genuinestart,http://pbs.twimg.com/profile_images/510356244264013824/I6OYlRTy_bigger.jpeg,294,1184,2,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511935433522294784,Tue Sep 16 23:21:33 IST 2014,ChiruandDravid,http://pbs.twimg.com/profile_images/499959352854208514/7eGzCqOg_bigger.jpeg,31,92,214,0.0,0.0
#PawanKalyan's #AttarintikiDaredi won 6 awards @ #SIIMA2014 @Samanthaprabhu2Best movie#Trivikram @ThisIsDSP  cinematographerFightmaster,511934728803745792,Tue Sep 16 23:18:45 IST 2014,PawanKalyanFan,http://pbs.twimg.com/profile_images/511948074319503360/s68acgPu_bigger.jpeg,37765,6170,2,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511933279029567488,Tue Sep 16 23:12:59 IST 2014,0486Ravi,http://pbs.twimg.com/profile_images/506362830656774144/i1iGe8AU_bigger.jpeg,23,32,214,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511932612894797824,Tue Sep 16 23:10:20 IST 2014,maheshpawanism,http://pbs.twimg.com/profile_images/511936095164985344/6JSsV_8I_bigger.jpeg,102,39,10,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511932595408367616,Tue Sep 16 23:10:16 IST 2014,pessi_ksn,http://pbs.twimg.com/profile_images/1198215534/pras_bigger.png,28,44,214,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511932576072994816,Tue Sep 16 23:10:12 IST 2014,sarathrebel,http://pbs.twimg.com/profile_images/510715269589659648/lySr0Vbj_bigger.jpeg,773,1014,214,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511932484180017152,Tue Sep 16 23:09:50 IST 2014,RakeshReveting,http://pbs.twimg.com/profile_images/506656598341607424/dLTZ81NS_bigger.jpeg,84,154,214,0.0,0.0
#PawanKalyan Fans Vs #Chiranjeevi at GAV Audio Launch Event http://t.co/Bc0ZijZ6i9,511932484162826240,Tue Sep 16 23:09:50 IST 2014,realchitramala,http://pbs.twimg.com/profile_images/3653027188/6ab7bd1dd0b8fd921377ff1dcc4fbc09_bigger.png,488,0,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511932449803489280,Tue Sep 16 23:09:41 IST 2014,ajitajju162,http://pbs.twimg.com/profile_images/495540923963424768/RU2WQkgX_bigger.jpeg,48,13,10,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511932234362667009,Tue Sep 16 23:08:50 IST 2014,genuinestart,http://pbs.twimg.com/profile_images/510356244264013824/I6OYlRTy_bigger.jpeg,294,1184,10,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511932129983221760,Tue Sep 16 23:08:25 IST 2014,genuinestart,http://pbs.twimg.com/profile_images/510356244264013824/I6OYlRTy_bigger.jpeg,294,1184,214,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511932053764706304,Tue Sep 16 23:08:07 IST 2014,TheJaykishan1,http://pbs.twimg.com/profile_images/511137862981394433/ERZQOo0E_bigger.jpeg,490,1225,214,0.0,0.0
For a second I thought that is #pawankalyan. When I watched #RowdyFellow trailer http://t.co/Fe01oQ3Fqp,511931960575287297,Tue Sep 16 23:07:45 IST 2014,shannkar043,http://pbs.twimg.com/profile_images/491245794687590400/lthra7k0_bigger.jpeg,46,0,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511931925116620800,Tue Sep 16 23:07:36 IST 2014,PawanKalyanFan,http://pbs.twimg.com/profile_images/511948074319503360/s68acgPu_bigger.jpeg,37765,6170,214,0.0,0.0
Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika http://t.co/E94AN4hDMC,511931776038866944,Tue Sep 16 23:07:01 IST 2014,PawanKalyanFan,http://pbs.twimg.com/profile_images/511948074319503360/s68acgPu_bigger.jpeg,37765,6170,10,0.0,0.0
#Actor_Dhanraj about #PawanKalyan in ATM Show today : Evvari Cinema Lo Ayina Character Name Gurthuntai But #PawanKalyan gari movie's 1/2,511928998020919297,Tue Sep 16 22:55:58 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
RT @nishchitha1: Hey..#PawanKalyan♥Where are youuuu..busy in shootings !!wanna see u once http://t.co/0hXe7VNSy0,511928796145266688,Tue Sep 16 22:55:10 IST 2014,veeru644,http://pbs.twimg.com/profile_images/452057592424972291/UxogQDLa_bigger.jpeg,41,663,3,0.0,0.0
RT @nishchitha1: Hey..#PawanKalyan♥Where are youuuu..busy in shootings !!wanna see u once http://t.co/0hXe7VNSy0,511923875160920064,Tue Sep 16 22:35:37 IST 2014,sanjaynandha786,http://pbs.twimg.com/profile_images/506398314997100546/MCIa7C7J_bigger.jpeg,49,22,3,0.0,0.0
"Chiru navve nuv chese santhakam.."Lovely smile♥Good Night #PawanKalyan♥♡♥ http://t.co/ETHNh2x3ii,511920195678388224,Tue Sep 16 22:21:00 IST 2014,nishchitha1,http://pbs.twimg.com/profile_images/501747833037262848/ixllVlxf_bigger.jpeg,1974,573,0,0.0,0.0
RT @nishchitha1: Hey..#PawanKalyan♥Where are youuuu..busy in shootings !!wanna see u once http://t.co/0hXe7VNSy0,511919678659129344,Tue Sep 16 22:18:57 IST 2014,PakkaPKfan,http://pbs.twimg.com/profile_images/511198497261899776/LLD5Stzc_bigger.jpeg,279,223,3,0.0,0.0
Hey..#PawanKalyan♥Where are youuuu..busy in shootings !!wanna see u once http://t.co/0hXe7VNSy0,511919497628774400,Tue Sep 16 22:18:13 IST 2014,nishchitha1,http://pbs.twimg.com/profile_images/501747833037262848/ixllVlxf_bigger.jpeg,1974,573,3,0.0,0.0
@PawanKalyan_IN i suuport,511918064976146433,Tue Sep 16 22:12:32 IST 2014,Satish191Sunil,http://pbs.twimg.com/profile_images/511176009727475712/IixZjsAE_bigger.jpeg,3,0,0.0,0.0
RT @LocalPowerstar: Chiranjeevi garu miku chaala mandi thammulu undochu kani mikosam pranalu iche Thammudu PAWANKALYAN matrame,511913593592246272,Tue Sep 16 21:54:46 IST 2014,c_arjunkumar,http://abs.twimg.com/sticky/default_profile_images/default_profile_0_bigger.png,14,161,2,0.0,0.0
@pranitasubhash #Pranita ji ankho dubke swimming karna chahiye :) dubbing dialogue #AttarintikiDaredi #PawanKalyan,511913017299050496,Tue Sep 16 21:52:28 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
RT @SRTrendulkar: PawanKalyan is greater than #Chiru annavallaki following suitableSame like pakkintodi father is better than your father …,511912881600737280,Tue Sep 16 21:51:56 IST 2014,vidyasagar9550,http://pbs.twimg.com/profile_images/509175348076879872/nJnq6Xae_bigger.jpeg,69,93,13,0.0,0.0
RT @PowerStarSanju: Watch Now Playing #PawanKalyan @Samanthaprabhu2 @pranitasubhash @ThisIsDSP #TrivikramSrinivas's #AD's Hindi #DaringBaaz…,511912379227971585,Tue Sep 16 21:49:56 IST 2014,c_arjunkumar,http://abs.twimg.com/sticky/default_profile_images/default_profile_0_bigger.png,14,161,1,0.0,0.0
Watch Now Playing #PawanKalyan @Samanthaprabhu2 @pranitasubhash @ThisIsDSP #TrivikramSrinivas's #AD's Hindi #DaringBaaz Movie on @ZeeCinema,511911589235007488,Tue Sep 16 21:46:48 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,1,0.0,0.0
Watching #PawanKalyan's #AttarintikiDaredi in Hindi dubbed on #ZCinema ..!!! Nice Family entertainment.,511907865234538496,Tue Sep 16 21:32:00 IST 2014,WriterPrashant,http://pbs.twimg.com/profile_images/462082810312785920/TTgf7kuu_bigger.jpeg,300,62,0,0.0,0.0
Chiranjeevi garu miku chaala mandi thammulu undochu kani mikosam pranalu iche Thammudu PAWANKALYAN matrame,511900464250490881,Tue Sep 16 21:02:36 IST 2014,LocalPowerstar,http://pbs.twimg.com/profile_images/510061305550483456/lmAxX7YX_bigger.jpeg,87,727,2,0.0,0.0
Srikanth thammudu aythe mari Pawankalyan enti????? #JustAsking,511893142279163904,Tue Sep 16 20:33:30 IST 2014,LocalPowerstar,http://pbs.twimg.com/profile_images/510061305550483456/lmAxX7YX_bigger.jpeg,87,727,0,0.0,0.0
RT @euniverse800: #Vijay  #Pawankalyan  #Rajini nd #MahesBabu r d actors with highest fan base in South In a survey. #RandomOne  http://t…,511891998756712448,Tue Sep 16 20:28:57 IST 2014,shabu283,http://pbs.twimg.com/profile_images/370270059/pehunter1_bigger.jpg,25,5,58,0.0,0.0
#Pawankalyan for 150 Days of #RamCharan #GAV film - http://t.co/q6IJL7Xa9l RT @pawan_kalyan @urspawan @PSPK_FC  @PSPK_FC @PspkAddicts,511891063859343360,Tue Sep 16 20:25:14 IST 2014,ITeluguCinema,http://pbs.twimg.com/profile_images/492333379677724672/6UnBmH6K_bigger.jpeg,515,24,0,0.0,0.0
Watch Powerstar Pawankalyan's and Trivikram's Stylish comedy Entertainer #Jalsa Tonight at 9.00pm on MaaMovies http://t.co/hTDY9zGjee,511889223649996800,Tue Sep 16 20:17:56 IST 2014,LocalPowerstar,http://pbs.twimg.com/profile_images/510061305550483456/lmAxX7YX_bigger.jpeg,87,727,0,0.0,0.0
#Pawankalyan's producer praises megapowerstar #RamCharan @RamcharanOnline For details --> http://t.co/a49RYl7xft http://t.co/zHCm095OQ6,511882000576159746,Tue Sep 16 19:49:13 IST 2014,igtelugu,http://pbs.twimg.com/profile_images/292772794/ig-fan_bigger.png,4263,0,0.0,0.0
My fav. pics collage :) #PawanKalyan http://t.co/L3KEUYqzfH,511880424197345282,Tue Sep 16 19:42:58 IST 2014,VyasKalyan,http://pbs.twimg.com/profile_images/512092068248694784/9HpXVlPr_bigger.jpeg,466,264,0,0.0,0.0
RT @PowerStarSanju: #PowerStar #PawanKalyan @Ileana_Official @ThisIsDSP #TrivikramSrinivas #AlluAravind's Super Hit Movie #Jalsa tonight 9:…,511879821480431616,Tue Sep 16 19:40:34 IST 2014,Powerrstarfan,http://pbs.twimg.com/profile_images/510101877611302912/PRhl0pv9_bigger.jpeg,2540,319,1,0.0,0.0
#PawanKalyan Looking super handsome :) http://t.co/295eh3WvW7,511878688032309248,Tue Sep 16 19:36:04 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
#PawanKalyan suuper dancer #SSMB sevam la vese dancer....!!! wat an intellectuality..!!! #Salute,511877247649591298,Tue Sep 16 19:30:20 IST 2014,YogiTweetz,http://pbs.twimg.com/profile_images/511153389325926400/xY7gZDAE_bigger.jpeg,487,2616,0,0.0,0.0
#Nenithe lo pudthune uyala song+#Businessman lo maheshbabu last scene dialogues+ #Cgr lo pawankalyan emotional speech = @purijagan luv u sir,511876407626956800,Tue Sep 16 19:27:00 IST 2014,puri_follower,http://pbs.twimg.com/profile_images/511111405303382016/UnbazBI__bigger.jpeg,203,540,0,0.0,0.0
#PawanKalyan♥Face lo aa kala chudu..too much cute !! http://t.co/U2DJxnHSQ9,511876032102535170,Tue Sep 16 19:25:30 IST 2014,nishchitha1,http://pbs.twimg.com/profile_images/501747833037262848/ixllVlxf_bigger.jpeg,1974,573,0,0.0,0.0
@nishchitha1 :) right but only #PawanKalyan movie's going to watch as fan :)),511873108907536385,Tue Sep 16 19:13:53 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
#PowerStar #PawanKalyan @Ileana_Official @ThisIsDSP #TrivikramSrinivas #AlluAravind's Super Hit Movie #Jalsa tonight 9:00pm on @MaaMovies,511872871006613505,Tue Sep 16 19:12:57 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,1,0.0,0.0
@Arunpandian007 Pawankalyan fan  but respect Mahesh .. Like his screen presence,511871058400378880,Tue Sep 16 19:05:45 IST 2014,euniverse800,http://pbs.twimg.com/profile_images/511147032363270144/LXpIiJCv_bigger.jpeg,1146,6851,0,0.0,0.0
#PawanKalyan #Pawanism http://t.co/9eEGfibwky,511867116346015744,Tue Sep 16 18:50:05 IST 2014,_PawanKalyan,http://pbs.twimg.com/profile_images/464351856697696257/OMdGtIT5_bigger.jpeg,2556,1,0,0.0,0.0
Good evening all ♥♥ #PawanKalyan & @kriti_official 😊 http://t.co/ctCc9ZLWV3,511861588081405954,Tue Sep 16 18:28:07 IST 2014,VyasKalyan,http://pbs.twimg.com/profile_images/512092068248694784/9HpXVlPr_bigger.jpeg,466,264,0,0.0,0.0
Pawan Kalyan-Renu Desai's Son Akira Nandan Dubbing For Debut Film http://t.co/hoQ3chgLWN #PawanKalyan,511858373076062209,Tue Sep 16 18:15:20 IST 2014,filmibeat,http://pbs.twimg.com/profile_images/501337363482554369/4xMnerN0_bigger.jpeg,8870,164,0,0.0,0.0
#PawanKalyan On #JaNaSeNa Party Meeting.#Devudu Lanti Annayaki Yedhurelthana..#Chiru On #Gav Audio Function.#Thammudiney Marichina #Chiru,511851961713311745,Tue Sep 16 17:49:52 IST 2014,maheshpawanism,http://pbs.twimg.com/profile_images/511936095164985344/6JSsV_8I_bigger.jpeg,102,39,0,0.0,0.0
RT @Deepuzoomout: Whatever the function be the chantings will always be.. Powerstar.. Powerstar... & Powerstar....... #Pawankalyan,511850701224296448,Tue Sep 16 17:44:51 IST 2014,aanilk,http://pbs.twimg.com/profile_images/1175254540/33580_488983680294_655455294_7468657_8387690_n_bigger.jpg,43,14,12,0.0,0.0
I posted a new photo to Facebook http://t.co/C6ysqVsI9X,511847655488503808,Tue Sep 16 17:32:45 IST 2014,PawanKalyan_FB,http://pbs.twimg.com/profile_images/378800000438635131/e612eed843f0890137a161d81ae9047c_bigger.jpeg,1396,1,0,0.0,0.0
I posted a new photo to Facebook http://t.co/Vg0nhFBfSD,511834829235953664,Tue Sep 16 16:41:47 IST 2014,PawanKalyan_FB,http://pbs.twimg.com/profile_images/378800000438635131/e612eed843f0890137a161d81ae9047c_bigger.jpeg,1396,1,0,0.0,0.0
RT @VyasKalyan: Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph,511833820383809536,Tue Sep 16 16:37:46 IST 2014,maheshpawanism,http://pbs.twimg.com/profile_images/511936095164985344/6JSsV_8I_bigger.jpeg,102,39,1,0.0,0.0
RT @Deepuzoomout: Whatever the function be the chantings will always be.. Powerstar.. Powerstar... & Powerstar....... #Pawankalyan,511830820097916928,Tue Sep 16 16:25:51 IST 2014,Powerrstarfan,http://pbs.twimg.com/profile_images/510101877611302912/PRhl0pv9_bigger.jpeg,2540,319,12,0.0,0.0
Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే ఉద్దేశ http://t.co/oAILvYLjj8,511828626526834688,Tue Sep 16 16:17:08 IST 2014,teluguwishesh,http://pbs.twimg.com/profile_images/2839299697/d19933f55ef07f139ebef76ba04b34b8_bigger.jpeg,287,1,0,0.0,0.0
Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే http://t.co/rrUMZRdBSF,511828340291162112,Tue Sep 16 16:16:00 IST 2014,teluguwishesh,http://pbs.twimg.com/profile_images/2839299697/d19933f55ef07f139ebef76ba04b34b8_bigger.jpeg,287,1,0,0.0,0.0
Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసేhttp://t.co/q8T0fxk6c9,511828296494243840,Tue Sep 16 16:15:49 IST 2014,teluguwishesh,http://pbs.twimg.com/profile_images/2839299697/d19933f55ef07f139ebef76ba04b34b8_bigger.jpeg,287,1,0,0.0,0.0
