"score" "text"
"18" -2 "Health fears after Kashmir floods: Authorities in Indian-administered Kashmir prepare for an outbreak of water... http://t.co/PkeTMfuC2r"
"19" -2 "Police find body in burning skip: A body is found in a burning skip on a main road into Manchester city centre. http://t.co/ovXzVk0Qqw"
