"","x"
"1","@BCCI Vijay was handling the new ball pretty well. In Australian conditions a opener like Vijay would have given you a steady start."
"2","GV on #Vijay59 ""There'll be at least 2 love songs that'll satisfy diehard romance fans, and also the massy elements to pump up #Vijay fans"
