"","word","freq"
"baby","baby",11
"campaign","campaign",11
"cant","cant",11
"character","character",11
"dear","dear",11
"everyone","everyone",11
"foxnewsfacts","foxnewsfacts",11
"gets","gets",11
"handling","handling",11
"hes","hes",11
"jobs","jobs",11
"legacy","legacy",11
"lol","lol",11
"loophole","loophole",11
"medical","medical",11
"noam","noam",11
"party","party",11
"plans","plans",11
"police","police",11
"politics","politics",11
"project","project",11
"republican","republican",11
"street","street",11
"thats","thats",11
"unionhard","unionhard",11
"veto","veto",11
"video","video",11
"well","well",11
"wont","wont",11
"actions","actions",10
"amazing","amazing",10
"ask","ask",10
"becomelame","becomelame",10
"christmas","christmas",10
"ducks","ducks",10
"forces","forces",10
"health","health",10
"higher","higher",10
"immigrants","immigrants",10
"installed","installed",10
"isis","isis",10
"islam","islam",10
"last","last",10
"money","money",10
"national","national",10
"office","office",10
"pledges","pledges",10
"post","post",10
"proposal","proposal",10
"proposed","proposed",10
"real","real",10
"remember","remember",10
"rich","rich",10
"sharpton","sharpton",10
"socialmedia","socialmedia",10
"struggles","struggles",10
"take","take",10
"travel","travel",10
"trust","trust",10
"wall","wall",10
"warns","warns",10
"world","world",10
"action","action",9
"also","also",9
"art","art",9
"attackbut","attackbut",9
"background","background",9
"believes","believes",9
"big","big",9
"cameras","cameras",9
"car","car",9
"charliehebdo","charliehebdo",9
"deal","deal",9
"didnt","didnt",9
"doesnt","doesnt",9
"dream","dream",9
"god","god",9
"going","going",9
"illegal","illegal",9
"internet","internet",9
"judge","judge",9
"keystone","keystone",9
"leave","leave",9
"liked","liked",9
"majority","majority",9
"massacre","massacre",9
"means","means",9
"never","never",9
"opportunity","opportunity",9
"photos","photos",9
"pretty","pretty",9
"read","read",9
"really","really",9
"savings","savings",9
"senators","senators",9
"something","something",9
"soundcloud","soundcloud",9
"stamps","stamps",9
"stopped","stopped",9
"swift","swift",9
"texas","texas",9
"today","today",9
"truth","truth",9
"tuesday","tuesday",9
"ukrainian","ukrainian",9
"works","works",9
"abc","abc",8
"accomplished","accomplished",8
"affordable","affordable",8
"already","already",8
"always","always",8
"android","android",8
"blaming","blaming",8
"break","break",8
"camera","camera",8
"check","check",8
"chief","chief",8
"close","close",8
"constitution","constitution",8
"cute","cute",8
"died","died",8
"every","every",8
"exclusive","exclusive",8
"facebook","facebook",8
"far","far",8
"fashion","fashion",8
"france","france",8
"fund","fund",8
"funny","funny",8
"half","half",8
"happening","happening",8
"heres","heres",8
"hot","hot",8
"increase","increase",8
"iphone","iphone",8
"japan","japan",8
"join","join",8
"left","left",8
"less","less",8
"likely","likely",8
"mocks","mocks",8
"nothing","nothing",8
"nuclear","nuclear",8
"orders","orders",8
"overall","overall",8
"paris","paris",8
"phone","phone",8
"please","please",8
"policies","policies",8
"policy","policy",8
"power","power",8
"program","program",8
"proud","proud",8
"rajpath","rajpath",8
"ratings","ratings",8
"regime","regime",8
"running","running",8
"ruth","ruth",8
"shut","shut",8
"sixth","sixth",8
"story","story",8
"style","style",8
"success","success",8
"talk","talk",8
"targeted","targeted",8
"tgdn","tgdn",8
"theyve","theyve",8
"try","try",8
"tuesdays","tuesdays",8
"whether","whether",8
"addresses","addresses",7
"airport","airport",7
"bader","bader",7
"barackobama","barackobama",7
"beauty","beauty",7
"biden","biden",7
"bill","bill",7
"call","call",7
"clinton","clinton",7
"continue","continue",7
"cool","cool",7
"cosigned","cosigned",7
"cybersecurity","cybersecurity",7
"death","death",7
"design","design",7
"details","details",7
"diy","diy",7
"ecommerce","ecommerce",7
"enemies","enemies",7
"enough","enough",7
"everything","everything",7
"experts","experts",7
"fact","fact",7
"falls","falls",7
"filet","filet",7
"force","force",7
"forget","forget",7
"foxnews","foxnews",7
"games","games",7
"gif","gif",7
"ginsburg","ginsburg",7
"grow","grow",7
"guy","guy",7
"guys","guys",7
"hasnt","hasnt",7
"heart","heart",7
"helped","helped",7
"high","high",7
"hikes","hikes",7
"hood","hood",7
"ill","ill",7
"illegals","illegals",7
"illinois","illinois",7
"indian","indian",7
"isnt","isnt",7
"jewelry","jewelry",7
"kids","kids",7
"kings","kings",7
"let","let",7
"liar","liar",7
"london","london",7
"lost","lost",7
"malia","malia",7
"mignon","mignon",7
"millions","millions",7
"modi","modi",7
"paid","paid",7
"places","places",7
"plea","plea",7
"positive","positive",7
"privacy","privacy",7
"promised","promised",7
"recipe","recipe",7
"rise","rise",7
"save","save",7
"seo","seo",7
"show","show",7
"sign","sign",7
"six","six",7
"sky","sky",7
"steal","steal",7
"stop","stop",7
"talks","talks",7
"taxing","taxing",7
"tech","tech",7
"ted","ted",7
"trip","trip",7
"turn","turn",7
"tweet","tweet",7
"uses","uses",7
"voted","voted",7
"walls","walls",7
"way","way",7
"women","women",7
"worlds","worlds",7
