time,no_of_posts
2015-01-20 01,4
2015-01-20 12,1
2015-01-20 11,0
2015-01-20 10,0
2015-01-20 09,0
2015-01-20 08,0
2015-01-20 07,1
2015-01-20 06,1
2015-01-20 05,1
2015-01-20 04,1
