"","analysis_score","analysis_text"
"66",-1,"@veerunaidu @ChwweetPriya @MaheshBabu_FC Born actors madyalo word missed ""to an"".Charan WAX STAR,expression less.Only dance is nt acting"
"67",0,"@tintububbly @ChwweetPriya @MaheshBabu_FC they are born actors!!í ½í¸"
"68",2,"@ChwweetPriya @veerunaidu @MaheshBabu_FC I mentioned great actor coz he is  d finest actor in TFI compared to others. performs bttr"
"69",2,"@veerunaidu @tintububbly @MaheshBabu_FC actor who is good at acting in mvies ni great actor anakunda emanali ?"
"70",0,"RT @tintububbly: @veerunaidu @ChwweetPriya @MaheshBabu_FC Great actors r to be reminded even their movies are past.:)Its somthing mahesh neâ¦"
"71",1,"@tintububbly @ChwweetPriya @MaheshBabu_FC mahesh defiantly tollywood topnotch, great actor antha Peda Peda words really apt avuthaya??"
"72",0,"RT @tintububbly: @veerunaidu @ChwweetPriya @MaheshBabu_FC Great actors r to be reminded even their movies are past.:)Its somthing mahesh neâ¦"
"73",0,"@veerunaidu @ChwweetPriya @MaheshBabu_FC Great actors r to be reminded even their movies are past.:)Its somthing mahesh never done so posted"
"74",1,"@MaheshBabu_FC @urstrulyMahesh super"
"75",0,"Superstar @urstrulyMahesh í ¼í¼ http://t.co/B0fvpYXtSt"
"76",0,"RT @ibtimesindia1: #GopalaGopala 9-Day #BoxOfficeCollections: #PawanKalyan Starrer Beats #MaheshBabu #Pokiri Lifetime Figures
http://t.co/bâ¦"
"77",1,"@ChwweetPriya @MaheshBabu_FC @urstrulyMahesh Fcourse the most desirable urike vastaya mari ;)"
"78",0,"RT @tintububbly: @ChwweetPriya @MaheshBabu_FC https://t.co/h2a2cc7C2s Sorry forgot to attach link before :)"
"79",3,"@tintububbly @MaheshBabu_FC how handsome he is while dancing :* like a college student &lt;3 love ya @urstrulyMahesh"
"80",0,"@ChwweetPriya @MaheshBabu_FC https://t.co/h2a2cc7C2s Sorry forgot to attach link before :)"
"81",-1,"@ChwweetPriya @MaheshBabu_FC To all Mahesh Fans, Most funny from Aagadu"
"82",0,"Mahesh Babu New Movie Sreemanthudu Shooting Photos
http://t.co/ciJTFymWz9
#sreemanthudu,#maheshbabu,#prince,#tollywood"
"83",0,"RT @charan_megafan: @venkatmkr Who's having more own fan following? RT for #Prabhas Fav for #MaheshBabu"
"84",0,"#GopalaGopala 9-Day #BoxOfficeCollections: #PawanKalyan Starrer Beats #MaheshBabu #Pokiri Lifetime Figures
http://t.co/b285B2uDZc"
"85",0,"RT @charan_megafan: @venkatmkr Who's having more own fan following? RT for #Prabhas Fav for #MaheshBabu"
"86",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"87",3,"Follow me #maheshbabu #ramcharan #ramsays #prabhas #alluarjun #raviteja #p1kalyan #jrntr fans follow me :) loves u lot :) all Telugu fans ;)"
"88",0,"RT @woodstimes: #MaheshBabu 's #1Nenokkadine Malayalam Version - 'NO 1' will release on Feb 6, 2015 http://t.co/qPpa62VP4Q"
"89",0,"#MaheshBabu #Pawan #Prabhas #AArjun in Hollywood movie http://t.co/Y8UoohfbAy"
"90",0,"Lagaan Heroine to act as Maheshâs Mother? http://t.co/74kfeAATX2 #maheshbabu"
"91",0,"RT @MythriOfficial: Our 1st tweet is a Big Shoutout to all the #SuperFans out there on @twitter! Hey all! @MaheshBabu_FC @onlymaheshfans @Mâ¦"
"92",0,"Cast Confusion In @urstrulyMaheshâs Next! - http://t.co/o5NMtGr5ND RT @MaheshBabu_FC @MAHESHNAMRATHA @MaheshBabuFacts"
"93",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"94",3,"RT @POETICandFUNNY: #Maheshbabu  performs so well that you forget about the logic and just enjoy his magnificent performance .Watching #1neâ¦"
"95",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"96",2,"#MaheshBabu @urstrulyMahesh @MaheshBabu_FC @MaheshBabuFacts tollywood top hero http://t.co/cSgUj2SfL9"
"97",0,"NW Aagadu (Encounter Shankar) #MaheshBabu"
"98",0,"@MaheshBabu_FC @urstrulyMahesh @realpreityzinta cuties"
"99",-1,"NTR's Family Visit NTR Ghat on NTR's Death Anniversary Day #jrntr #temper #purijagannadh #bahubali #maheshbabu https://t.co/HHYRksJpd2"
"100",0,"Superstar @urstrulyMahesh #aagadu #MaheshBabu @14reelsofficial http://t.co/XplzzLlxBH"
"101",0,"Superstar @urstrulyMahesh #aagadu Mep Show Kew #MaheshBabu @14reelsofficial http://t.co/4UD9B5ctnC"
"102",1,"RT @cva214: @BeingSalmanKhan  hai bhai m from hyd jaiho superb  pls remake of maheshbabu film 1 nenokkadine  this film sure u got 1000 cr câ¦"
"103",1,"RT @cva214: @BeingSalmanKhan  hai bhai m from hyd jaiho superb  pls remake of maheshbabu film 1 nenokkadine  this film sure u got 1000 cr câ¦"
"104",1,"@MaheshBabu_FC @urstrulyMahesh super star................."
"105",0,"RT @GangadharMuta79: Prince Super Star @urstrulyMahesh #1Nenokkadine #maheshbabu @14reelsofficial http://t.co/zqOanQTOpA"
"106",0,"Prince Super Star @urstrulyMahesh #1Nenokkadine #maheshbabu @14reelsofficial http://t.co/zqOanQTOpA"
"107",0,"Superstar @urstrulyMahesh í ½í± #Trivikram #Khaleja http://t.co/kFlFHOefUS"
"108",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"109",0,"@MaheshBabu_FC @MaheshBabuNews @IamMaheshFan @PrinceMaheshFc @PrinceMahesh_FC Aamir Khan Heroine in Mahesh's next http://t.co/LymS7ppGvz"
"110",0,"FlashBack: #MaheshBabu [@urstrulyMahesh] and #PrakashRaj on the sets of #Khaleja http://t.co/WQZ10onYYy"
"111",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"112",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"113",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"114",0,"@MaheshBabu_FC Hi Check out the trailer of a new age film http://t.co/2v1PlVKs3B"
"115",0,""" @woodstimes :
#MaheshBabu's #1Nenokkadine Malayalam Version - 'NO 1' will release on Feb 6, 2015"""
"116",1,"RT @MylovesCASTLE: @MaheshBabu_FC @urstrulyMahesh7 @urstrulyMahesh @dhanushkraja three are versatile actors/they dare to do different kind â¦"
"117",1,""" @Keisar_ :
Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu. """
"118",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"119",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"120",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"121",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"122",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"123",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"124",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"125",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"126",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"127",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"128",0,".@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
"129",0,"RT @MULAKALAGUMADAM: "" @HanuNtr :
Karnataka and Ceded King #NTR. Overseas King #MaheshBabu. No one can replace them. #Fact."""
"130",0,""" @HanuNtr :
Karnataka and Ceded King #NTR. Overseas King #MaheshBabu. No one can replace them. #Fact."""
"131",0,"RT @HanuNtr: Karnataka and Ceded King #NTR.
Overseas King #MaheshBabu. No one can replace them. #Fact."
"132",0,"I have voted for #MaheshBabu as the Times Most Desirable Men 2014 on http://t.co/71iR7IZgyS @itimestweets"
"133",0,"@MaheshBabu_FC @urstrulyMahesh @14reelsofficial prince of India"
"134",0,"Thanks a lot who have followed me ;) #iSupportMSGinPunjab  #telugu #maheshbabu #prabhasraju #aamirkhan #southindian #nepal #followme #palpa"
"135",0,"RT @charan_megafan: @venkatmkr Who's having more own fan following? RT for #Prabhas Fav for #MaheshBabu"
"136",0,"Karnataka and Ceded King #NTR.
Overseas King #MaheshBabu. No one can replace them. #Fact."
"137",1,"@MaheshBabu_FC @urstrulyMahesh7 @urstrulyMahesh @dhanushkraja three are versatile actors/they dare to do different kind of concepts"
"138",0,"#MaheshBabu Giving Break To TV Actress Turned Heroine
http://t.co/8ML7HrODK1
@onlymaheshfans,@MaheshBabu_FC,@PrinceMahesh_FC,@Maheshtimes"
