"score" "text"
"144" 3 "RT @CLt20_Tweets: Yesterday Ireland beat Scotland by three wickets at Malahide to secure an unassailable 2-0 lead in the three-match series…"
"147" 3 "Yesterday Ireland beat Scotland by three wickets at Malahide to secure an unassailable 2-0 lead in the three-match series. #SCOvIRE #Cricket"
