"score" "text"
"98" -2 "Pakistan cricketers told to get fit or lose money. Regular fitness tests with deductions of 25% of salary for those that fail #cricket"
"120" -2 "Pakistan cricketers told to get fit or lose money. Regular fitness tests with deductions of 25% of salary for those that fail #cricket"
"121" -2 "Old interview from @davidcoltart about #Zimbabwe #cricket. Terrible shame David is no longer in office. Did so much. http://t.co/VRcrxScUtg"
"177" -2 "High acute #workload in fast bowlers --&gt; delayed increased risk of #injury (up to 3 to 4 weeks)   http://t.co/umLIKLGudy #Cricket"
