"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"1",2014-09-17 01:47:52,0.164994485033331,"z12xizubixahyze2a23jtnqafyaufzzl0","114255629043044096727","post",0,0,0,"photo","Wishing a happy Birthday to Our Honarable Prime Minister of India Shri Narendra Modi Ji﻿"
"2",2014-09-16 17:47:25,0.498639024504357,"z13zfxnotziostpof04cippxgmqwhtjp0qk0k","102997480801919022035","post",0,0,0,"video","Pawan Kalyan Ex Wife Renu Desai Reacted On Anti Comments﻿"
"3",2014-09-16 17:46:55,0.498980258957103,"z13kunohulzdgxelp23phjf4pr3ifxc5o04","102997480801919022035","post",0,0,0,"video","Pawan Kalyan Craze At Govindudu Andarivadele Audio Launch | Ram Charan﻿"
"4",2014-09-16 17:42:03,0.502368769322832,"z12zh3d53pauvlero04cjvi5cznbsnjgo3w","100240887854964061021","post",0,0,0,"article","#PawanKalyan Fans Vs #Chiranjeevi at GAV Audio Launch Event﻿"
"5",2014-09-16 16:50:34,0.538116414974685,"z12puvco5tqpvx0ar04cedfr1mzmz13r2hg","109059731143575757976","post",0,0,0,"article","Sudeep vs Jagapthi babu in LingaaA hero is someone who can change the total composition and scale of a film with his presence. This is one reason why when stars like Superstar Rajnikanth, Amitabh Bachchan, Aamir Khan, Shah Rukh Khan, Mahesh Babu, Pawan Kalyan come with their films the atmo...﻿"
"6",2014-09-16 14:20:25,0.642390749335841,"z12dctdwvxipvp3fe23zifuo2kbaunb1v","110751382568495051971","post",0,0,0,"article"," #Pawankalyan  &#39;s producer praises megapowerstar  #RamCharan For details --&gt; http://goo.gl/IoA6s5 ﻿"
"7",2014-09-16 13:36:10,0.673116877713689,"z12evtdwitn5exo5w04cflibypzrdfwxepo0k","111483099084419723177","post",0,0,0,"article","Allu Arjun Skipped GAV FunctionAllu Arjun Skipped GAV Function   Except Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event b...﻿"
"8",2014-09-16 13:10:39,0.690835090867347,"z13bstdyrnz2yzune22iyxzhssfzehzwo04","103202536926537687683","post",0,2,0,"photo","RenuDesai strikes back again ..??Read here:http://goo.gl/ZGSPwv#renudesai #pawankalyan #strikesback #moviemint#renudesailatestnews﻿"
"9",2014-09-16 11:04:48,0.77823131100999,"z13sujb4hxaiy53qq04cjbcziuzfghtzul00k","110174428036757991090","post",0,0,0,"article","Renu desai warning to Pawan kalyan fans | Renu Desai fires on Powerstar Fanst is more or less fact that Power Star Pawan Kalyan and Renu Desai got separated and they are no more together.After leaving Pawan Renu left to Pune and got busy with her work but the painful past of the renu was still hurting her unfortunately it was becau...﻿"
"10",2014-09-16 09:50:55,0.829545653983951,"z133h5wgvt3qytkru04cgvwx0lmpcnfo52c","112862034647124655505","post",0,0,0,"article","Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download- video free download Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download﻿"
"11",2014-09-16 09:29:59,0.844074668669038,"z12cgbuxkqjaf5bmd22ggde5sxv2speml","109588926321301478100","post",0,0,0,"photo","दक्षिण फिल्मों के दस बड़े सुपरस्टार, जिनके एक्टिंग की कॉपी करते हेैं बॉलीवुड के स्टार http://www.haribhoomi.com/news/14413-ten-superstar-from-south-indian-film.html #haribhoomi #tollywood #southindustry #bollywood #shivaji #Mohanlal #chiranjeevi #pawankalyan #JUniorNtr #suriya﻿"
"12",2014-09-16 08:17:15,0.894584098328595,"z13dw3jotun2xvfph04cjljzasy1w1roqqw0k","114184017194544594389","post",0,0,0,"article","Pawan Kalyan Skips Again, http://www.cinesprint.com/tollywood/cine-buzz/1307-pawan-kalyan-skips-again.html﻿"
"13",2014-09-16 07:52:57,0.911465770886452,"z13qvz3xuzydvhaqd04cedfr1mzmz13r2hg","109059731143575757976","post",0,0,0,"article","Allu Arjun Skipped GAV FunctionExcept Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event but at the same time never thought ...﻿"
"14",2014-09-16 07:38:46,0.921317263270418,"z121fdwolzzefdhjd04chbe4zyfwijuboak","101368573489785935155","post",0,0,0,"article","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿"
"15",2014-09-16 07:38:41,0.921374231237504,"z13hzp2pvtjsjxskw22ajvpieveaffpqm04","102934154256966017167","post",0,0,0,"article","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿"
"16",2014-09-16 06:39:33,0.962433462234007,"z120inuypleeddjqy04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","CAMERAMAN GANGA THO RAMBABU MOVIE REVIEWMovie : Cameranman Ganga Tho Rambabu (Telugu) Cast : Pawan Kalyan, Tamannaah, Prakash Raj Music : Mani Sharma Cinematography : Shyam K. Naidu Editing : S. R. Shekhar Producer : D. V. V. Danayya Written : Puri Jagannath Screenplay : Puri Jagannath Director :...﻿"
"17",2014-09-16 06:36:51,0.964309312295582,"z12csbhykznjizz0x23bzrf5yuqwj3rfb","107486622235259574783","post",0,0,0,"article","ATHARINTIKI DAAREDI MOVIE REVIEWFilm : Atharintiki Daaredi(Telugu, 2013) Cast: Pawan Kalyan, Samantha, Praneetha, Boman Irani, Nadiya, Rao Ramesh, Kota Srinivasa Rao, Brahmanandam, Ali, Music: Devi Sri Prasad Art: Ravindar Fights: Peter heins Camera: Prasad Murella Editing: Praveen Pudi D...﻿"
"18",2014-09-16 06:24:27,0.972919504443804,"z13win2j3uuaiplqo04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM CAMERAMAN GANGATHO RAMBABU POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES   PAWAN KALYAN NEW FILM CAMERAMAN GANGATHO RAMBABU HD WALLPAPERS   CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERS PAWAN KALYAN AND TAMANNA NEW TELUGU FILM CAMERAMA...﻿"
"19",2014-09-16 06:18:03,0.97736859569671,"z12vib5g1pz4svi5u04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","ATTHARINTIKI DAREDHI MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM ATTHARINTIKI DAREDHI POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES FREE DOWNLOADS SAMANTHA NEW FILM ATTHARINTIKI DAREDHI HD &amp; HQ WALLPAPERS ATTHARINTIKI DAREDHI MOVIE WALLPAPERS PRANITHA NEW TELUGU FILM ATTHARINTIKI DAREDHI MOVIE WAL...﻿"
"20",2014-09-16 05:59:55,0.989957817679754,"z13itxe4lwagvjb5x04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"photo","TOLLYWOOD : UPDATESPawan can come for GAV 150days function : Chiranjeevi Megastar Chiranjeevi had to face an interesting experience today during the audio launch of Ram Charan’s ‘Govindhudu Andhari Vadele’. As soon as Chiranjeevi started speaking, fans started chanting Pawan Kalyan’s name.Taking this in a sportive manner, Chiranjeevi said that Pawan Kalyan is everyone’s brother. He also said that Pawan Kalyan can be expected for the 150 days function of GAV. That was the confidence he had in the movie.Chiranjeevi also heaped praise on Krishna Vamsi and Bandla Ganesh and complimented them for doing a good job.#ytalkies #tollywood #updates #chiranjeevi #krishnavamsi #bandlaganesh #pawankalyan #govinduduandharivadele Govindudu Andarivadele Ram Charan Pawan Kalyan ツ Krishna Vamsi Bandla Ganesh(Pspk Fan) Megastar Chiranjeevi﻿"
