"","analysis_score","analysis_text"
"1",-1,"@RucshanK @26_ganesh sorry I cannot help here..."
"2",0,"@RucshanK @26_ganesh you can buy the rights and release yourself..."
"3",2,"RT @malviyamit: #RSS Swayemsevaks helping authorities with rescue operations in Anekal. Only instance of productive 'civil society'. http:/â¦"
"4",1,"We just love the bond between Ganesh &amp; Darpan ! :*
Really they are just ""One In a Million"" #Bandhan @IamChhaviPandey http://t.co/QwDcQEWpMl"
"5",1,"RT @prabhucharan8: @ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadiâ¦"
"6",1,"@ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadi vuntam sir #Temper"
"7",1,"Small Kiddo and her favorite god, Ganesh. Somewhere in the Bali countryside eating yucca and learningâ¦ http://t.co/jHX3vLdjT5"
"8",0,"RT @KareenaOnline: âKareena Kapoorâs item number in Brothers will be 2015âs Chikni Chameli.â â Brothers' choregrapher Ganesh Acharya"
"9",0,"Ganesh Acharya talks about 'Hey Bro' http://t.co/VCon7rjf3z"
"10",0,"@ganeshbandla Congrats #Temper team and B Ganesh garu"
"11",0,"Beautiful new carved soapstone Buddha's and Ganesh now in stock ;)"
"12",0,"Ganesh Acharya talks about 'Hey Bro': Ganesh Acharya talks about 'Hey Bro' http://t.co/lCDFSB00lG"
"13",0,"#SuryaRay #Surya #SuryaRay #Surya Ganesh Acharya talks about 'Hey Bro' http://t.co/g6YbRVVS6Y @suryaray @suryaray @suryaray @suryaray"
"14",0,"#SuryaRay #Surya #SuryaRay #Surya Ganesh Acharya talks about 'Hey Bro' http://t.co/doeyVLmbVx @suryaray @suryaray @suryaray @suryaray3"
"15",1,"""@ganeshbandla: SINCERE THANKS TO PVP ANNA THE MAN WHO STOOD BEHIND ME ONE&amp; ONLY í ½í¹"" super production anna... Thank u ganesh anna..."
"16",0,"RT @bhaskaruu: @NagarajaReddyS @ganeshravuri @chvrkraju Yes 100% agree with ganesh anna,Mahesh ki oka Business Man, NTR ki oka Temper  bothâ¦"
"17",0,"RT @BeboMalaysiaFC: Kareena Kapoorâs item number in Brothers will be 2015âs Chikni Chameli - Ganesh Acharya http://t.co/Uol07Sgbvk"
"18",0,"@NagarajaReddyS @ganeshravuri @chvrkraju Yes 100% agree with ganesh anna,Mahesh ki oka Business Man, NTR ki oka Temper  both r one man shows"
"19",0,"RT @krishashok: Welcome to the new Digital India (via @Sree_Ganesh) http://t.co/tpwBRjmQTb"
"20",1,"Yogis: looks like we will be on the move next week, still in Ryde - more soon.  Ganesh, the elephant God and mover of obstacles with us ;)"
"21",0,"RT @Trivikram_Fans: Best Wishes to, Young Tiger NTR, Director Puri Jagannath &amp; Producer Bandla Ganesh on #Temper Release .. @tarak9999 @purâ¦"
"22",1,"#Ganesh #melbourne #streetart Colours are incredible. Worth checking out Hosier Lane in Melbourne andâ¦ http://t.co/O0RcxcUIux"
"23",0,"@ganeshbandla username: BANDLA GANESH
password: BLOCKBUSTER"
"24",0,"RT @rajes025: I am a software professional, I am going to #JoinBJP to bring democracy in bengal so I #Vote4BJPBengal, Will you ??? http://tâ¦"
"25",0,"RT @krishashok: Welcome to the new Digital India (via @Sree_Ganesh) http://t.co/tpwBRjmQTb"
"26",0,"Ilayaraja Magic is all over this song http://t.co/WqUpcPufLT"
"27",0,"RT @GaneshFans: #GoldenStar @Official_Ganesh looks very Handsome &amp; Charming In #Apoorva Promo 
@ShilpaaGanesh http://t.co/U5nRKt2WhA"
"28",1,"Ol kat nd bebo fans, I think we ol no dey r vei vei diffrnt. So I think no nid 2 compare. Bdw its Ganesh hu compared, not any fan"
"29",0,"http://t.co/nhn5VUtdsa  - Kareenaâs number in Brothers will be 2015's 'Chikni Chameli': Ganesh Acharya #KatrinaKaif #Kareenakapoor"
"30",0,"@ganesh_29 Skylanders Trap Team Starter Pack - Wii U is now on sale for $39.99 at Amazon. Product page: http://t.co/47MDp2HW1z"
"31",0,"RT @UshaVavveti: Bandla Ganesh about Temper | Celebrity Response | Jr NTR | #TemperMania ...: http://t.co/UT5ZpDiI4Q @ganeshbandla"
"32",0,"RT @krishashok: Welcome to the new Digital India (via @Sree_Ganesh) http://t.co/tpwBRjmQTb"
"33",0,"RT @krishashok: Welcome to the new Digital India (via @Sree_Ganesh) http://t.co/tpwBRjmQTb"
"34",0,"Choreographer Ganesh Acharya Turns Lead Actor For Comedy Film 'Hey Bro'-Watch Full Interview: http://t.co/tlWuwymzF0 via @YouTube"
"35",0,"RT @QuoteBeauties: Once we.... http://t.co/kbhaJRcikV"
"36",1,"I liked a @YouTube video http://t.co/1BBSDtg7pj Vid Shri Kumaresh &amp; Ganesh"
"37",0,"Cricketer Ganesh, New Form of LordÂ Ganesh http://t.co/jaoeYq1QSb"
"38",0,"Film 'Hey Bro' Actor Maninder Singh Takes A Dig At Ganesh Acharya Fat Look: http://t.co/aV3GkHjUrK via @YouTube"
"39",0,"@ganesh_divate 
Are you interested in Kundalini awakenings, chakras, and spirituality? https://t.co/k62EGOan43"
"40",0,"""Ganesh Ji"" Om Aum Funny Car Vinyl Sticker Decal Truck Bumper Laptop - 472 D http://t.co/TWdDN1pAzc http://t.co/E6wXxAJIn1"
"41",0,"Happy Ganesh Chaturthi"
"42",2,"RT @shekharkapur: 'Bank account is no longer my aspiration but my right' Transformative messaging by @narendramodi. 11 crore new accounts iâ¦"
