"","analysis_score","analysis_text"
"45",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"46",0,"""@AsianCinemas_: #AlluArjun #Trivikram's Movie Final Schedule from tomorrow!"""
"47",0,"#AlluArjun #Trivikram's Movie Final Schedule from tomorrow!"
"48",0,"Telugu films - Sycophancy here is mostly sexually transmitted
#BalaKrishna #PawanKalyan #JrNTR #Prabhas #AlluArjun #VarunTej #Rana etc"
"49",0,"#AlluArjun-#TrivikramSrinivas New Movie Title Confirmed!

Read@ http://t.co/v8f60Skqh1 http://t.co/FDXM2vEWBX"
"50",0,"RT @AsianCinemas_: #AlluArjun #Trivikram's Movie Final Schedule from tomorrow!"
"51",0,"RT @AsianCinemas_: #AlluArjun #Trivikram's Movie Final Schedule from tomorrow!"
"52",0,"#AlluArjun #Trivikram's Movie Final Schedule from tomorrow!"
"53",0,"@alluarjun__ 
#AlluArjun #Tollywood
Allu Arjunâs Shocking Decision.
http://t.co/bgHrxgZaPq http://t.co/FYSzGex5Gh"
"54",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"55",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"56",0,"#AlluArjun latest pic!!! http://t.co/qGyTI3Dkl5"
"57",0,"RT @manikick: Stylish Star #AlluArjun on the sets of #Rudhramadevi í ½í± @SSAAfanclub @AlluArjunAdicts http://t.co/NMKP8DOYeC"
"58",0,"#Trivikram selected a titile for alluarjun upcoming movie as #HUSHARU
http://t.co/Xim1IBel9i"
"59",0,"RT @truebunnyfan: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi 

https://t.co/BpWe0jt2wS"
"60",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"61",0,"Allu Arjun - Trivikram's film shoot updates: #AlluArjun #TrivikramSrinivas #DeviSriPrasadâ¦ http://t.co/Rw4DrunXCk http://t.co/FniQETgYrI"
"62",0,"Stylish Star #AlluArjun on the sets of #Rudhramadevi í ½í± @SSAAfanclub @AlluArjunAdicts http://t.co/NMKP8DOYeC"
"63",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"64",0,"RT @AsianCinemas_: Stylish Star #AlluArjun on the sets of #Rudhramadevi í ½í± http://t.co/99nUvLPwu1"
"65",0,"Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi 

https://t.co/BpWe0jt2wS"
"66",0,"Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"67",0,"Stylish Star #AlluArjun on the sets of #Rudhramadevi í ½í± http://t.co/99nUvLPwu1"
"68",0,"RT @woodstimes: #AlluArjun has asked Dir #VijayKumarKonda to develop a story &amp; come up with a bounded script. shooting from June. http://t.â¦"
"69",0,"Exclusive: #AlluArjun next film with Vijay Konda? http://t.co/xaZ8sku4NS"
"70",0,"Title for #AlluArjun #TrivikramSrinivas Movie : #Tollywood
http://t.co/0P8xxVjdk1"
"71",1,"#AlluArjun's super look for #GonaGannaReddy. http://t.co/THPJPM4Xjn"
"72",0,"Exclusive: Alluarjun next film with VijayKonda? @directorvijays 
http://t.co/Lj7yJOQ1qg @SSAAfanclub @AlluArjunAdicts http://t.co/11GS9DNrse"
"73",0,"RT @TollywoodTrends: #AlluArjun has asked Dir #VijayKumarKonda to develop a story &amp; come up with a bounded script. shooting from June. httpâ¦"
"74",0,"#AlluArjun Wonât Kiss Anymore!  - http://t.co/gDVpma9OGQ RT @alluarjun @AlluArjunAdicts @SSAAfanclub @AlluArjunfanzz @ALLUARJUN_FANS"
"75",0,"AlluArjun next movies with #boyapatiseenu and #harishshankar"
"76",1,"AlluArjun next movie with Vijay Konda #gundejarigallanthaindi #olk fame"
"77",3,"Follow me #maheshbabu #ramcharan #ramsays #prabhas #alluarjun #raviteja #p1kalyan #jrntr fans follow me :) loves u lot :) all Telugu fans ;)"
"78",0,"#AlluArjun has asked Dir #VijayKumarKonda to develop a story &amp; come up with a bounded script. shooting from June. http://t.co/RW0X6FbE1k"
"79",0,"#AlluArjun has asked Dir #VijayKumarKonda to develop a story &amp; come up with a bounded script. shooting from June. http://t.co/LUSYG9tOuG"
"80",0,"#Trivikram and  #AlluArjun new mvie title --&gt;&gt;&gt; #Jadhugar Hm bagundi"
"81",0,"RT @AlluArjunAdicts: Here U Go And Check Out \m/
#AlluArjun As #GonaGannaReddy _/\_ http://t.co/TyFgPxIfRe"
"82",-1,"RT @PavanSurvi: #AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shoâ¦"
"83",0,"#AlluArjun n #Trivikram 's mv named after mv release n based on its talk. #Husharu n #trishulam r two names r their consideration. Wt u say?"
"84",0,"RT @AlluArjunAdicts: Which 1 Is The Best Title For
Our #AlluArjun @thisisdsp #Trivikram's Upcoming Flick ?
1. #Husharu
2. #Trisulam
3. #Jadâ¦"
"85",0,"RT @AlwaysBunnyFan: Which 1 Is The Best Title For Our #AlluArjun
#Trivikram 's Upcoming movie ? 
RT for #Husharu 
Fav for #Trisulam"
"86",0,"RT @AlwaysBunnyFan: Which 1 Is The Best Title For Our #AlluArjun
#Trivikram 's Upcoming movie ? 
RT for #Husharu 
Fav for #Trisulam"
"87",0,"RT @AlwaysBunnyFan: Which 1 Is The Best Title For Our #AlluArjun
#Trivikram 's Upcoming movie ? 
RT for #Husharu 
Fav for #Trisulam"
"88",0,"@alluarjun__ hii bunny"
"89",0,"@ALLUARJUN_FANS Adios lip-locks!! : Bunny http://t.co/O5QBTepATk http://t.co/JK83GBMRHc"
"90",0,"@alluarjun__ Adios lip-locks!! : Bunny:http://t.co/O5QBTepATk http://t.co/MhbSmLs7VA"
"91",-1,"#AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shooting from June."
"92",0,"AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."""
"93",-1,"#AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shooting from June."
"94",0,"#Husharu or #Chalaki titles in consideration for #AlluArjun @trivikramIn Movie! Full Story&gt; http://t.co/phcvlyg8YH http://t.co/Ggwigrnr20"
"95",0,"RT @AlwaysBunnyFan: Which 1 Is The Best Title For Our #AlluArjun
#Trivikram 's Upcoming movie ? 
RT for #Husharu 
Fav for #Trisulam"
"96",0,"Which Is The Best Title For Our #AlluArjun #Trivikram 's Upcoming movie ? 

1.#Husharu 
2.#Trisulam 
3.#Jadhugar"
"97",0,"Which 1 Is The Best Title For Our #AlluArjun
#Trivikram 's Upcoming movie ? 
RT for #Husharu 
Fav for #Trisulam"
"98",0,"""Key scenes in #AlluArjun â @trivikramIn movie from 20th
 http://t.co/UAiQEJn3Kv"""
"99",0,"RT @123telugu: Key scenes in #AlluArjun â @trivikramIn movie from 20th
 http://t.co/jjewF9R4jK"
"100",0,"Key scenes in #AlluArjun â @trivikramIn movie
from 20th http://t.co/mK8JhlNwpW"
"101",0,"#AlluArjunâs next film titled as #Husharu?

To Watch this news click on the link âºâº http://t.co/Upg7pCqE02 http://t.co/ex3CyT9t37"
"102",0,"Change In #Bunnyâs Movie Title - http://t.co/XPPTX1ptYR RT @alluarjun @AlluArjunAdicts @SSAAfanclub @AlluArjunfanzz @ALLUARJUN_FANS"
"103",3,"#I'm not exclusive fan of PAWAN, RAMCHARAN, ALLUARJUN but as like most of the fans i'm true Mega Family fan.Ee exclusive fans yevaru?"
"104",0,"RT @123telugu: Key scenes in #AlluArjun â @trivikramIn movie from 20th
 http://t.co/jjewF9R4jK"
"105",0,"Which 1 Is The Best Title For
Our #AlluArjun @thisisdsp #Trivikram's Upcoming Flick ?
1. #Husharu
2. #Trisulam
3. #Jadhugar"
"106",0,"Which Suits #Trivikram â #AlluArjun Combo? - http://t.co/vA8foSmXUa @AlluArjunAdicts @SSAAfanclub @AlluArjunfanzz @Trivikram_FC @TrivikramFC"
"107",0,"Key scenes in #AlluArjun â @trivikramIn movie from 20th
 http://t.co/jjewF9R4jK"
"108",0,"RT @AndhraBoxOffice: Bunny - Trivi Film : 'Trishoolam', 'Husharu' &amp; 'Jaadoogar' are the rumoured titles in consideration.

http://t.co/APwXâ¦"
"109",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"110",0,"#Fanism :

A Fan Made edit.. #GonaGannaReddy
@AlluArjunAdicts @ALLUARJUN_FANS @Rudhramadevi http://t.co/l411p0cZ0k"
"111",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"112",0,"Buzz : AlluArjun - Trivikram Movie Titled As #Husharu."
"113",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"114",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"115",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"116",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"117",0,"""@ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."""
"118",0,"#AlluArjun 's upcoming movie is almost complete but as no name as of now! http://t.co/Wk0zrtGvDS"
"119",0,"RT @Trivikram_Fans: Eenadu &amp; AndhraJyothy Updates Today, About #Gurugaru #Trivikram &amp; #StylishStar #AlluArjun's Movie .. http://t.co/6lHP0yâ¦"
"120",0,"#AlluArjun Upcoming Flick Almost Complete But No Name Today Article In DC !!! http://t.co/nMi14zbz9B"
