"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"25",2014-10-28 11:55:06,6.00404758358995,"z12qwrzx4xiacldek22yilrqhzbtxxktj","101518794221977544454","post",0,0,0,"photo","TOLLYWOOD : NEWSPrabhas To Lend His voice For Mahesh’s Next?It is probable that Rebel star Prabhas will lend his voice for Mahesh Babu&#39;s forthcoming film directed by Koratala Siva. Considering that Prabhas and Koratala share great camaraderie, the director has apparently asked Prabhas to give voice over to which Prabhas immediately gave his nod. Buzz is once dubbing begins, Prabhas is expected to join.It&#39;s not a new trend for star heroes to lend their voices for the films of their peers. In fact, Mahesh Babu did it for Pawan Kalyan&#39;s Jalsa obliging Trivikram Srinivas&#39; plea. Ravi Teja had also lent his voice for Suneel-starrer Maryada Ramanna.#ytalkieslive #tollywood #maheshbabu #prabhas #trivikram #koratalasiva #raviteja #pawankalyan﻿"
"26",2014-10-28 11:47:40,6.00920842012046,"z12nh52wdzvbchjhr04cftuaytrwzbrq35w","101518794221977544454","post",1,0,0,"photo","TOLLYWOOD : NEWSPower Star To See “Kaththi” TodayTamil Star Vijay’s ‘Kaththi’ which released for Diwali has taken a humongous opening. The opening day figures stand at around 15 crores which is among the top openings for a Tamil film. After the stupendous success of the Tamil version, the makers are planning to remake it with Pawan Kalyan as a lead. According to our sources, Pawan Kalyan will be watching the film along with Tagore Madhu today and decide the final outcome, for the remake.#ytalkieslive #tollywood #pawankalyan #kaththi #Tagoremadhu #vijay﻿"
"27",2014-10-28 06:17:25,6.23854932871406,"z12zzrvognynvnc1u22fyrfgexvsyjlxm04","113562279888585796916","post",0,0,0,"article","#ShahRukhKhan Not Doing #PawanKalyan&#39;s #AttarintikiDaaredi Remake?http://goo.gl/pJP24y﻿"
"28",2014-10-28 05:37:12,6.26648323894927,"z132fxfhhx2oudk3h22ri3oh4kytztbgg04","114452413023438161498","post",0,0,0,"photo","#PawanKalyan &amp; #TagoreMadhu to watch Actor #Vijay&#39;s #Kaththi today.﻿"
"29",2014-10-28 01:32:47,6.43621038545061,"z12hyrzonuvrdt0ik04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","#PawanKalyan Gabbar Singh 2 latest buzz ! @ http://goo.gl/yqEX9i﻿"
"30",2014-10-28 00:00:55,6.50001114753937,"z12ic3a5ekatfbbxd04ccx24rlvizvv4e2k","109187927035382108082","post",0,1,0,"photo","Pawan Kalyan In Telugu Kaththi?Recent flick in Tollywood, Kaththi movie starring Vijay has garnered the huge response from the audience. The Diwali release has collected Rs. 15 crores on its releasing day, October 22nd.Kaththi&#39;s box office collection is increasing day by day, the overwhelming response of the movie has caught the attention from the other industries too. The dubbing rights of the movie has been sold for Tollywood and Bollywood for high rates respectively, says the earlier reports.Now, the latest buzz in Tollywood says, the Telugu version of Kaththi movie will be starred by Pawan Kalyan, if everything goes well Power Star to play the lead role in Kaththi. The dubbing rights has been sold to Tagore Madhu, the producers are yet to announce the actor&#39;s name for the movie officially. After the success of the Tamil version, Kaththi is all set for Telugu version. The top actor of Tollywood, Pawan Kalyan who gave blockbuster hit movies is again back to give a promising hit movie.Read more at: www.filmibeat.com #kaththimovie   #pawankalyan   #AiringIPTV  ﻿"
"31",2014-10-27 14:03:27,6.91491930165501,"z12xzvexeziddzsjw04cddpb1ymljbtwv44","107240181164230233399","share",0,0,0,"video","Watch #PillaNuvvuLeniJeevitham movie audio launch LIVE here!#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan  #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates  ﻿"
"32",2014-10-27 13:11:54,6.95071405803716,"z131ylbj3kmrjbch404cg33ovknljbnrptw0k","106644307529052996975","post",0,0,0,"video","Watch: #DilRaju Compare #PawanKalyan with #Chiranjeevi at Pilla Nuvvu Leni Jeevitham Audio Launch﻿"
"33",2014-10-27 12:56:11,6.96162437480357,"z13fjviamz3sulog004cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#PawanKalyan to watch &#39;#Kaththi&#39; in a special screening﻿"
"34",2014-10-27 12:56:01,6.96174558013954,"z12bg1oz0qznuhgkb22eyjtavtzkupp4e04","107169274681249130632","post",0,0,0,"article","#PawanKalyan to watch &#39;#Kaththi&#39; in a special screening﻿"
