"","analysis_score","analysis_text"
"46",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta"
"47",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal"
"48",0,"RT @mehranzaidi: A BJP leader shouted 'Dilli ka neta kaisa ho? Some BJP workers responded 'Kejriwal jaisa ho' says @abpnewstv ..prank or diâ¦"
"49",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"50",1,"Today's headlines : bedi, kejriwal and tharoor. Well atleast the cong should be grateful to tharoor for keepin it in the headlines!"
"51",0,"RT @IACBilaspur: Arvind Kejriwal to hold an election rally at Krishna Nagar today at 6 pm.
Reach Krishna Nagar @6pm
#WalkWithKejriwal"
"52",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"53",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta"
"54",-1,"Baghban 2 : A movie which shows how Kiran Bedi, Kejriwal, Manish Sishodia ignore Anna Hazare after getting settled,,"
"55",1,"RT @BDUTT: Now @ArvindKejriwal has invited @thekiranbedi to a public debate; Will she say Yes? In my intw she said she's ready http://t.co/â¦"
"56",0,"RT @ANI_news: This is a dharm yudh for us. A fight for good against evil: Arvind Kejriwal on Delhi Elections"
"57",0,"RT @katjuPCI: Public debates are always good for democracy. @thekiranbedi cn't back off now aftr challenging Kejriwal. Will present very weâ¦"
"58",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"59",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"60",0,"RT @IndianExpress: #LIVE Delhi polls: @ArvindKejriwal believes in debate, I believe in delivering: @thekiranbedi http://t.co/iKDRkYsJXh httâ¦"
"61",0,"RT @ANI_news: This is a dharm yudh for us. A fight for good against evil: Arvind Kejriwal on Delhi Elections"
"62",0,"RT @Dayweekaa: @TimesNow the way kejriwal is behaving, he's acting like a beggar."
"63",-1,"RT @TimesNow: Kiran Bedi termed Kejriwal's twitter account as ""polluting"" one and says she blocked him as he was ""spreading negativity"".  #â¦"
"64",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal"
"65",0,"RT @madhukishwar: Surprised Kiran Bedi not fighting from Kejriwal's constituency.Shows lack of confidence in taking him on tho BJP recruiteâ¦"
"66",0,"RT @chetan_bhaqat: #BediVsKejriwal debate
Kejriwal: Lokpal, Bring back black money, women safety, statehood ...
Bedi: But BJP has most beauâ¦"
"67",0,"RT @IndianExpress: A few questions within but BJP decides on  answer to Arvind Kejriwal: Kiran Bedi as Delhi CM http://t.co/Zwy2Faq3fa"
"68",0,"RT @madhukishwar: Surprised Kiran Bedi not fighting from Kejriwal's constituency.Shows lack of confidence in taking him on tho BJP recruiteâ¦"
"69",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"70",0,"RT @AamAadmiParty: Blog by @RaisinaSeries on debate between @ArvindKejriwal and @thekiranbedi!

Read at: http://t.co/EHavW0jFRV"
"71",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"72",0,"RT @chetan_bhaqat: #BediVsKejriwal debate
Kejriwal: Lokpal, Bring back black money, women safety, statehood ...
Bedi: But BJP has most beauâ¦"
"73",1,"RT @love4cow: #Kejriwal road show #AAP workers brought from other states Where is the support from #Delhi ? #media skirting it  #DelhiWithMâ¦"
"74",0,"RT @hitesh_jain90: BJP re-considering decision of not putting Kiran with Kejriwal in public debate. Senior leaders may give training to herâ¦"
"75",2,"@ankitlal 
Nupur Sharma is enough to debate with Kejriwal now.  Kiran Bedi will debate after his election defeat #Kirankarisma"
"76",0,"RT @ANI_news: Arvind Kejriwal will campaign in Krishna Nagar today at 6pm. BJP CM candidate Kiran Bedi is contesting Delhi polls from Krishâ¦"
"77",0,"RT @ANI_news: Arvind Kejriwal will campaign in Krishna Nagar today at 6pm. BJP CM candidate Kiran Bedi is contesting Delhi polls from Krishâ¦"
"78",0,"RT @ANI_news: This is a dharm yudh for us. A fight for good against evil: Arvind Kejriwal on Delhi Elections"
