"","analysis_score","analysis_text"
"48",0,"RT @JrNTRFC: #TemperMania ~ Temper will be superhit ~ http://t.co/VmkHQatiih @tarak9999"
"49",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦"
"50",1,"Happy birthday Kennon! Hope you had a great day!í ¼í¾í ½í¸í ½í¸ @kennonbene http://t.co/nBCtg0zJFa"
"51",0,"#Temper Movie Review: It's a Show of #JuniorNTR http://t.co/Jb6CVRXq58 #tempermoviereview #purijagannath #KajalAggarwal #jrntr #kajal #ntr"
"52",1,"Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #TemperMania"
"53",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper"
"54",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper"
"55",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦"
"56",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper"
"57",0,"@KRBS526 @kuriabubbly @Rakulpreet 2nd place tamannah, 3rd place amy Jackson, 4th sam, 5th kajal"
"58",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"59",-1,"@kajal_0106 negative  í ½í¹í ½í¹í ½í¹"
"60",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"61",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"62",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"63",0,"'Temper' Movie Review: Viewers Say It's a Show of Junior NTR http://t.co/gaVXn53kxa"
"64",0,"RT @a2i_bd: Award Giving Ceremony for Third Round of Servce Innovation Fund... http://t.co/LGkcax44z9"
"65",2,"kudos to the entir team of #temper ..movie blockbuster .@tarak9999 .@purijagan @ganeshbandla nd kajal..climax  superb http://t.co/2HoXg3IeZa"
"66",0,"â@rakhilpatel: Phone rule #1: always keep your read receipts offâ read receipts are actually a MUST"
"67",0,"#Temper Movie Review: It's a Show of #JuniorNTR http://t.co/Jb6CVRXq58 #tempermoviereview #purijagannath #KajalAggarwal #jrntr #kajal #ntr"
"68",0,"RT @swapanseth: Thought For The Day http://t.co/EOIOs7ojyF"
"69",-1,"RT @alwaysmurli: ""@Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper""haha"
"70",0,"@dathurulz  is there bikini scene of kajal in it?"
"71",0,"RT @KelseyDonald: *shows kajal the scratches on my stomach* ""omg kels it looks like u got whipped! ah speakin of whipped 50 shades is grey â¦"
"72",0,"*shows kajal the scratches on my stomach* ""omg kels it looks like u got whipped! ah speakin of whipped 50 shades is grey comes out tmrrw!!!"""
"73",-1,"""@Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper""haha"
"74",0,"#Temper Movie Review: It's a Show of #JuniorNTR http://t.co/iNoYpecaZN #tempermoviereview #purijagannath #KajalAggarwal #jrntr #kajal #ntr"
"75",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper"
"76",-1,"Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper"
"77",0,"@ameesha_patel As expected @purijagan delivered a Blockbuster again #TremendousHit #Temper. 10am show. #NTR #Kajal http://t.co/4VAolKu3Iq"
"78",0,"'Temper' Movie Review: Viewers Say It's a Show of Junior NTR: Junior NTR and Puri Jagannath's second combo mov... http://t.co/Aa6GCI8L2G"
"79",0,"Forgive youself and forgive others. http://t.co/Vqw6KL4Dit"
"80",-4,"RT @LifeLimits: There are two types of pain in this world: pain that hurts you, and pain that changes you."
"81",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦"
"82",0,"There's ""hell"" in hello, ""Good"" in goodbye, ""Lie"" in believe, ""Over"" in lover, ""End"" in friend, &amp; a ""if"" in life"
"83",0,"RT @BaeFeeling: Shit happens when you trust the wrong people."
"84",0,"RT @FamousWomen: You're going to lose people in your life and realize no matter how much time you spent with them, it will never seem like â¦"
"85",-1,"RT @ohteenquotes: Don't stress about the closed doors behind you. New doors are opening if you keep moving forward."
"86",-2,"RT @ohteenquotes: The scariest thing about distance is that you don't know whether they'll miss you or forget you."
"87",1,"Hpy hug dayí ¼í¼¹í ¼í¼¹í ¼í¼¹í ½í²í ½í²í ½í²! @mudassarkhan1"
"88",-1,"sad, but true http://t.co/LEGs1zSQKZ"
"89",0,"RT @InspowerMinds: Learn from yesterday, live for today, and hope for tomorrow."
"90",-1,"RT @MePurplelicious: I miss the way you looked into my eyes and said kajal ke bina tum bilkul bimaar dikhti ho baby."
"91",1,"Happiest hug day tooo all my sweetest hasinas foreverâºâ©â¥í ½í±¯  @iamsanjeeda @KishwerM @iamteenachopra @simonesinghofficial"
