"score" "text"
"2" -1 "@HARISH_0436 ala em ledu, Pawankalyan 3rd marriage ki kuda tweet chesa, so what's wrong."
"20" -1 "#AD cinema sagam leak aina release ayyi Charitra thiraga rasindi.
@ihansika ihansika : Aa Power antha PowerStar PawanKalyan dhi
#Power"
