"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"1",2014-09-16 11:04:48,0.083870545476675,"z13sujb4hxaiy53qq04cjbcziuzfghtzul00k","110174428036757991090","post",0,0,0,"article","Renu desai warning to Pawan kalyan fans | Renu Desai fires on Powerstar Fanst is more or less fact that Power Star Pawan Kalyan and Renu Desai got separated and they are no more together.After leaving Pawan Renu left to Pune and got busy with her work but the painful past of the renu was still hurting her unfortunately it was becau...﻿"
"2",2014-09-16 09:50:55,0.135184962953682,"z133h5wgvt3qytkru04cgvwx0lmpcnfo52c","112862034647124655505","post",0,0,0,"article","Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download- video free download Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download﻿"
"3",2014-09-16 09:29:59,0.149713958904699,"z12cgbuxkqjaf5bmd22ggde5sxv2speml","109588926321301478100","post",0,0,0,"photo","दक्षिण फिल्मों के दस बड़े सुपरस्टार, जिनके एक्टिंग की कॉपी करते हेैं बॉलीवुड के स्टार http://www.haribhoomi.com/news/14413-ten-superstar-from-south-indian-film.html #haribhoomi #tollywood #southindustry #bollywood #shivaji #Mohanlal #chiranjeevi #pawankalyan #JUniorNtr #suriya﻿"
"4",2014-09-16 08:17:15,0.200223398956436,"z13dw3jotun2xvfph04cjljzasy1w1roqqw0k","114184017194544594389","post",0,0,0,"article","Pawan Kalyan Skips Again, http://www.cinesprint.com/tollywood/cine-buzz/1307-pawan-kalyan-skips-again.html﻿"
"5",2014-09-16 07:52:57,0.217105072173807,"z13qvz3xuzydvhaqd04cedfr1mzmz13r2hg","109059731143575757976","post",0,0,0,"article","Allu Arjun Skipped GAV FunctionExcept Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event but at the same time never thought ...﻿"
"6",2014-09-16 07:38:46,0.226956578391018,"z121fdwolzzefdhjd04chbe4zyfwijuboak","101368573489785935155","post",0,0,0,"article","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿"
"7",2014-09-16 07:38:41,0.227013522888775,"z13hzp2pvtjsjxskw22ajvpieveaffpqm04","102934154256966017167","post",0,0,0,"article","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿"
"8",2014-09-16 06:39:33,0.268072753027081,"z120inuypleeddjqy04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","CAMERAMAN GANGA THO RAMBABU MOVIE REVIEWMovie : Cameranman Ganga Tho Rambabu (Telugu) Cast : Pawan Kalyan, Tamannaah, Prakash Raj Music : Mani Sharma Cinematography : Shyam K. Naidu Editing : S. R. Shekhar Producer : D. V. V. Danayya Written : Puri Jagannath Screenplay : Puri Jagannath Director :...﻿"
"9",2014-09-16 06:36:51,0.269948570405444,"z12csbhykznjizz0x23bzrf5yuqwj3rfb","107486622235259574783","post",0,0,0,"article","ATHARINTIKI DAAREDI MOVIE REVIEWFilm : Atharintiki Daaredi(Telugu, 2013) Cast: Pawan Kalyan, Samantha, Praneetha, Boman Irani, Nadiya, Rao Ramesh, Kota Srinivasa Rao, Brahmanandam, Ali, Music: Devi Sri Prasad Art: Ravindar Fights: Peter heins Camera: Prasad Murella Editing: Praveen Pudi D...﻿"
"10",2014-09-16 06:24:27,0.278558788636216,"z13win2j3uuaiplqo04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM CAMERAMAN GANGATHO RAMBABU POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES   PAWAN KALYAN NEW FILM CAMERAMAN GANGATHO RAMBABU HD WALLPAPERS   CAMERAMAN GANGATHO RAMBABU MOVIE WALLPAPERS PAWAN KALYAN AND TAMANNA NEW TELUGU FILM CAMERAMA...﻿"
"11",2014-09-16 06:18:03,0.283007854893804,"z12vib5g1pz4svi5u04cgzyxgrvevlwixgw","107486622235259574783","post",0,0,0,"article","ATTHARINTIKI DAREDHI MOVIE WALLPAPERSPAWAN KALYAN NEW TELUGU FILM ATTHARINTIKI DAREDHI POSTERS, WALLPAPERS, FIRSTLOOK, PICTURES FREE DOWNLOADS SAMANTHA NEW FILM ATTHARINTIKI DAREDHI HD &amp; HQ WALLPAPERS ATTHARINTIKI DAREDHI MOVIE WALLPAPERS PRANITHA NEW TELUGU FILM ATTHARINTIKI DAREDHI MOVIE WAL...﻿"
"12",2014-09-16 05:59:55,0.295597079528703,"z13itxe4lwagvjb5x04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"photo","TOLLYWOOD : UPDATESPawan can come for GAV 150days function : Chiranjeevi Megastar Chiranjeevi had to face an interesting experience today during the audio launch of Ram Charan’s ‘Govindhudu Andhari Vadele’. As soon as Chiranjeevi started speaking, fans started chanting Pawan Kalyan’s name.Taking this in a sportive manner, Chiranjeevi said that Pawan Kalyan is everyone’s brother. He also said that Pawan Kalyan can be expected for the 150 days function of GAV. That was the confidence he had in the movie.Chiranjeevi also heaped praise on Krishna Vamsi and Bandla Ganesh and complimented them for doing a good job.#ytalkies #tollywood #updates #chiranjeevi #krishnavamsi #bandlaganesh #pawankalyan #govinduduandharivadele Govindudu Andarivadele Ram Charan Pawan Kalyan ツ Krishna Vamsi Bandla Ganesh(Pspk Fan) Megastar Chiranjeevi﻿"
"13",2014-09-16 05:55:07,0.298936738672632,"z13bvvromzm1ffss522qyrszxyikj3jxr04","112927891908119467475","post",0,0,0,"article","Renu Desai Counter to Critics: I&#39;m not using Pawan Kalyan&#39;s NameMumbai: The actor-turned-filmmaker tells her critics that she made it on her own steam, without piggybacking on Pawan Kalyan’s name. Renu Desai, the actor turned filmmaker who is busy with the promotions of her Marathi film Ishq Wala Love, has taken to soci...﻿"
"14",2014-09-16 05:47:30,0.30421869688012,"z12aejwjbxjawp4wx04cevuz3zrtu1whzqw0k","112927891908119467475","post",0,0,0,"article","Pawan Kalyan can come for GAV 150days function: Chiranjeevi at Audio LaunchMegastar Chiranjeevi had to face an interesting experience today during the audio launch of Ram Charan’s ‘Govindhudu Andhari Vadele’. As soon as Chiranjeevi started speaking, fans started chanting Pawan Kalyan’s name. Taking this in a sportive manner, Chira...﻿"
"15",2014-09-16 03:04:19,0.417542590134674,"z13qt1vgwmvyizzw404ch1zqxzingr2gslw0k","104506275538622952789","post",0,0,0,"video","Powerstar Pawan Kalyan Birthday Special: http://youtu.be/3ZWfz9JIP5g﻿"
"16",2014-09-16 02:53:15,0.42522838688835,"z13hgxwzcyejvaw0kmvrjvop1tfvxtok1","100415523786813731551","post",0,0,0,"photo","Pawan Kalyan committed to memory by Chiranjeevi - read complete story click here.... http://goo.gl/a4I4ms﻿"
