"","analysis_score","analysis_text"
"196",0,"RT @UrsSamyuktha: @PawanKalyan Kind n Pure Heart With Genuine Smile í ½í²í ½í² í ½í¸ Gdnyt í ½í¸ http://t.co/fET2rl0gdE"
"197",0,"RT @smitapop: Finally watched #gopalagopala. Very touched by every aspect of d movie. Creator is 1 #pawankalyan the cutest krishna. #Venky â¦"
"198",1,"This is actually the good idea regarding natural farming at zero budget. It will help our farmers alot.@PawanKalyan"
"199",1,"Yes sir. Our govt. should implement such type of programs which benifits our king farmers@PawanKalyan"
"200",0,"@PawanKalyan Thank you for ur concern, but first encourage the village youth towards agriculture sir with your words or thougts wat ever.."
"201",0,"@PawanKalyan Anna ur just rocking all d tim"
"202",0,"@PSPK_FC @PawanKalyan brothers mee fan club what ups unte nannu add chesukora"
"203",0,"RT @PSPK_FC: Exclusive snaps of @PawanKalyan from his latest interview. :) http://t.co/MRrmDyOFBF"
"204",1,"@sreeteja1998 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"205",1,"@srstudiouselr Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"206",1,"@mahendr41369067 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"207",1,"@EsherRegu Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"208",1,"@ManoharMuthyala Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"209",1,"@90_nagaraju Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"210",1,"@kishorkishor85 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"211",1,"@suri6141 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"212",1,"@praveen_yedla Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"213",1,"@devuduokkade Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/YZzXInIHkY via http://t.co/F6GMKJ1ulG"
"214",0,"RT @BoxOfficeMazza: #GopalaGopala 9 Days Total Worldwide Share is 40.06 Cr..#Superb #VictoryVenkatesh @PawanKalyan @SBDaggubati @SureshProdâ¦"
"215",2,"RT @Actor_Asin: Watched #GopalaGopala...really loved the movie especially most good looking god @PawanKalyan í ½í¸...it's a must  watch movie í ½í¸â¦"
