"","x"
"1","ODI tri-series: MS Dhoni attributes lacklustre new ball bowling for India&amp;#039;s loss  - https://www.punjabupdate.com/odi-tri-series-ms-dhoni-attributes-lacklustre-new-ball-bowling-for-indias-loss-2/ Melbourne: Indian captain Mahendra Singh on Sunday conceded that his side lost the plot in the early overs with new ball bowlers failing to make a mark in their tense four-wicket loss against Australia in their cricket tri-series match here.&quot;It was a good match overall and Mitchell...  - #Australia, #Captain, #Dhoni, #India, #MitchellStarc, #MS, #MSDhoni, #ODI, #StevenSmith #Sportsï»¿"
"2","ODI tri-series: MS Dhoni attributes lacklustre new ball bowling for India&amp;#039;s loss  - http://goo.gl/OBQCtY Melbourne: Indian captain Mahendra Singh on Sunday conceded that his side lost the plot in the early overs with new ball bowlers failing to make a mark in their tense four-wicket loss against Australia in their cricket tri-series match here.&quot;It was a good match overall and Mitchell...  - #Australia, #Captain, #Dhoni, #India, #MitchellStarc, #MS, #MSDhoni, #ODI, #StevenSmith #Sportsï»¿"
