"","score","text","path"
"154",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/rathoreIITB"
"160",1,"RT @DrunkVinodMehta: Channels hv done the magic! 
#KiranBedi jumped 3% to 44% in 2days.
In 3days, Next Survey.
#KiranBedi 47%, Kejriwal 44%â¦","https://twitter.com/iRajeevrg"
"162",1,"RT @BDUTT: Asked by me if @thekiranbedi will debate @ArvindKejriwal she says ""Am ready"" then jokes ""Let BJP Media cell decide"" http://t.co/â¦","https://twitter.com/manzar_alam12"
"170",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/ExBjpsupporter"
"172",1,"RT @sharmarohitraj: @NupurSharmaBJP Congratulations.... you are going to win. Kejriwal will be 3rd position after walia. Pamphlets counteriâ¦","https://twitter.com/_AmarnathS"
"173",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/manishmisra2004"
"182",1,"â@DrunkVinodMehta:Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#WalkWithKejriwal","https://twitter.com/piyushbichalwas"
"185",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/GandhiShyamal"
"187",2,"RT @Azwar_Indian: Y'day
Kiran Bedi : I m ready 4 the debateí ½í¸

Today
Arvind Kejriwal: I m too ready 4 the debateí ½í¸í ½í¸
Kiran Bedi: Me to mazak kâ¦","https://twitter.com/mahesh_arali"
"194",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/nileshimpo"
"195",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/amanonit"
"198",1,"@Newsroompostcom Mr.Kejriwal's nuisance on Twitter is thoroughly avoidable now. There are much important things to do right now","https://twitter.com/survivor1366"
"201",1,"RT @11AshokaRoad: We shd appreciate @NupurSharmaBJP guts for accepting the offer to fight against Kejriwal aftr @shaziailmi backed off at lâ¦","https://twitter.com/mohit2406"
"204",1,"RT @VeerSatish: @seema_hw @_amarnaths @tajinderbagga Arvind Kejriwal can't follow his own party constitution, how will he give good governaâ¦","https://twitter.com/PolityIndian"
"206",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/TakeBackIndia"
"210",3,"Lesson from Kejriwal - You don't have to be talented to be famous, all u gotta do is constantly oppose someone great &amp; gain proxy publicity.","https://twitter.com/Negativeless"
"214",1,"News Nation Opinion Poll: AAP gets an upper edge in neck to neck contest; Kejriwal clear choice... http://t.co/J8MPuTifen","https://twitter.com/sohanntl1983"
"215",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/Impres78"
"219",3,"RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦","https://twitter.com/Rahul11557799"
"235",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/awakesatish"
"238",1,"RT ankitlal: 10 reasons why maheshperi of careers360 wants ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/m4fABtUpOp","https://twitter.com/mayankhoney47"
"240",2,"#Kejriwal don't have right to contest in coming #DelhiElections I think ! Ppl trusted him n gave a chance but nothing done by him #Kiran4CM","https://twitter.com/UrstrulyESH"
"241",1,"@NupurSharmaBJP Congrats. Dont think kejriwal has any chance dis time. U will win.","https://twitter.com/spandan2003"
"242",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/pradeepjn9271"
"247",1,"RT DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/mayankhoney47"
"249",1,"RT @RaisinaSeries: As promised, my first Delhi Campaign Blog, have a read...--The Great Indian Debate: Kejriwal vs Bedi: http://t.co/pd5ALqâ¦","https://twitter.com/shiyadshah"
"252",1,"Find many 'ANONYMOUS'(SCARE OF REVEALING OWN IDENTITY) daring. - http://t.co/ytUnMg2y05","https://twitter.com/otpalam"
"255",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/Sumitg129"
"258",1,"@gnanodayam i agree with @EastCoastIndia . kcr &amp; bedi should not win in delhi. kejriwal should. @SrinuTG","https://twitter.com/Thotakoorism"
"262",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/kejriwalfanclub"
"266",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/astro_rat"
"267",1,"RT @NBTDilli: Arvind Kejriwal and Ajay Maken say they are ready for political debate, now all eyes on BJP CM Candidate Kiran Bedi. #DelhiPoâ¦","https://twitter.com/5Ranjan"
"280",1,"@thekiranbedi So chickened out for a debate with Kejriwal. The righteous is bold as a lion.","https://twitter.com/Kurianbose"
"288",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/rajkshroff"
"289",1,"RT @ashu3page: Arvind kejriwal takes blessing from his mother this morning before leaving for filing his nomination from new delhi. http://â¦","https://twitter.com/rxmehulpatel"
"292",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/bhupins5"
"296",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/Sweetseii"
"297",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/Arv_Ga"
"301",1,"RT @pandit_rss: BJP youth leader Nupur Sharma is ready to take on Kejriwal in Delhi http://t.co/nQ7syAOoY6 via @dna
@NupurSharmaBJP 
#Delhiâ¦","https://twitter.com/bhakt11"
"307",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/MayankUprety"
"309",1,"@NupurSharmaBJP @ArvindKejriwal @poltu_iit @PMOIndia_RC @rishibagree Nupur ji - would like to host debate b/w u and kejriwal.@ANI_news host!","https://twitter.com/RPiscean"
"310",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/priya_savla"
"312",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/sameer30101982"
"316",1,"RT @virsanghvi: The best thing about the Delhi campaign is that neither Bedi nor Kejriwal is scared of a debate. Should be an interesting eâ¦","https://twitter.com/Jayrajraghavan"
"319",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/angryyoungman11"
"326",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/vinaynp"
"328",2,"RT @Azwar_Indian: Y'day
Kiran Bedi : I m ready 4 the debateí ½í¸

Today
Arvind Kejriwal: I m too ready 4 the debateí ½í¸í ½í¸
Kiran Bedi: Me to mazak kâ¦","https://twitter.com/MadhuThukral"
"338",1,"â@TimesNow: This is like a ""dharma yudh"" for us: Arvind Kejriwal on the the Delhi elections.  #BediVsKejriwalâ #WalkWithKejriwal","https://twitter.com/piyushbichalwas"
"343",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/VeerVijayPratap"
"351",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/banjackesed"
"353",1,"RT @indiantweeter: Mam @thekiranbedi as a Modi supporter (Modi ji follows me)  I request you to please go for a public debate with Arvind Kâ¦","https://twitter.com/Panditvani"
"354",1,"RT @MrsGandhi: Ho jaaye!! ""@HeadlinesToday: BJP leader Kiran Bedi says she is ready for a public debate with AAP leader Arvind Kejriwal.""","https://twitter.com/LalwaniRita"
"355",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/bhuvneshlavania"
"357",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/AapKaZafar"
"360",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/vikashtiwari86"
"361",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/Sutikshna"
"367",2,"It is Nupur Sharma is enough to debate with Kejriwal now.  Kiran Bedi will debate after his election defeat #Kirankarisma","https://twitter.com/BismayAkinchan"
"371",1,"RT @JaiHIndtweets: @INCJosh @ibnlive @ArvindKejriwal

Would like to see even @thekiranbedi joing Debate with Kejriwal n Maken,
as suggestd â¦","https://twitter.com/gops333"
"379",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/RaisinaSeries"
"381",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/5Ranjan"
"384",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/PradeepAgrawa"
"387",1,"RT @SalmanSoz: Even BJP workers like @MrsGandhi have learnt art of the U-turn. Within hours of welcoming a Bedi-Kejriwal debate now questioâ¦","https://twitter.com/MikeDesai"
"408",1,"RT @NBTDilli: Arvind Kejriwal and Ajay Maken say they are ready for political debate, now all eyes on BJP CM Candidate Kiran Bedi. #DelhiPoâ¦","https://twitter.com/AapKeRaj"
"412",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/AamAadmiParty"
"426",1,"RT @virsanghvi: The best thing about the Delhi campaign is that neither Bedi nor Kejriwal is scared of a debate. Should be an interesting eâ¦","https://twitter.com/bharathtintin"
"437",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/CRamanaKumar"
"441",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/Montu_Here"
"446",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/youthwithaap"
"447",1,"@DrKumarVishwas @thekiranbedi @ArvindKejriwal @VishalDadlani at this time I'm favour to Mr kejriwal,it should happen:b))","https://twitter.com/atish12345"
"448",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/neelmani_c"
"449",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/vashistha_s"
"451",1,"RT @virsanghvi: The best thing about the Delhi campaign is that neither Bedi nor Kejriwal is scared of a debate. Should be an interesting eâ¦","https://twitter.com/suchin545"
