"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"19",2015-02-07 05:51:12,5.97082875988274,"z13xuxajwkzsyffeg22zufgjjp3ovzkvm","113731145324278917260","post",0,0,0,"photo","#Kajal with @iamlakshmirai﻿","https://plus.google.com/113731145324278917260"
"20",2015-02-07 05:40:10,5.97850103308481,"z13ki1xxiu2euzlwu04cdtkrvzqbjtirrqg0k","111376434505057824298","post",0,1,0,"photo","Temper Movie Ready to Release on February 13#NTR, #Kajal Agarwal Starrer #Temper Movie scheduled to release world wide on February 13. NTR Playing a cop role in this Temper which is action entertainer Movie, directed by #Puri Jagannadh and #Bandla Ganesh is producer. Music composed by #Anup Rubens.Sonia Agarwal is playing a crucial role. Prakash Raj, Kota Srinivasa Rao, Tanikella Bharani, Ali, Krishna Murali Posaani, Madhurima, Ajaz Khan, Vennela Kishore and Saptagiri Playing key roles in this movie.See More: http://www.mobizill.com/news/#sthash.K2kSxDXJ.dpuf﻿","https://plus.google.com/111376434505057824298"
"21",2015-02-06 08:47:46,6.84821616126707,"z12qvf3gbk3de330c22ig5yzxlvyfpxxn04","111376434505057824298","post",0,3,0,"photo","Photo Feature : Tamanna , Kajal with JayapradaMilky beauty #Tamanna Bhatia and Beauty Queen #Kajal Aggarwal with yesteryear beauty #Jayaprada at the marriage of T.#Subbarami Reddy&#39;s Grandson Rajiv Reddy and Kavya.See More At: http://www.mobizill.com/news/#sthash.DEMK0IHG.dpuf﻿","https://plus.google.com/111376434505057824298"
"22",2015-02-06 06:20:41,6.95035850235709,"z13yzd34uujhxxbpj04cgrsy2tmpefeif5c","101718756811529152460","post",0,2,0,"album","+Kajal Aggarwal  Latest Pics!At #TSR Grandson #Rajiv Marriage. #Tollywood   #TollywoodActress   #TBT   #Kajal   #Kajal_Aggarwal  ﻿","https://plus.google.com/101718756811529152460"
"23",2015-02-06 05:28:49,6.98637925042322,"z13kwp34atrkcjykh22zh55pqljgddguo","112741708539543231304","post",0,0,1,"album","Celebs at  #SubbaramiReddy &#39;s Grandson&#39;s Wedding#Kcr  #JayaPradha   #Kajal     #Tamanna     #balakrishna     #Krishna     #YSJagan     #Roja    #BandaruDattatreya   #BabuMohan For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"24",2015-02-06 04:01:28,7.04704224816903,"z13jjrbruyzvjjx4x04cfpzpckbofrzj2xg0k","105187269105668736346","share",0,0,0,"photo","#Temper movie stills  #NTR   #Kajal   #purijagannadh  http://maatv.com/gallery/movie-stills/temper﻿","https://plus.google.com/105187269105668736346"
"25",2015-02-06 04:00:55,7.04741794390259,"z12xzj05esaodxhe122xjxe41x2xzvsrf04","105187269105668736346","share",0,0,0,"photo","#Temper working stills #NTR #Kajal #PuriJagannadhmore here : http://maatv.com/gallery/working-stills/temper﻿","https://plus.google.com/105187269105668736346"
"26",2015-02-05 18:02:50,7.46274995133005,"z13dejhwvo23fv1eo23dhjhapweuxjddt","118097952402108912791","share",0,0,0,"photo","#Temper movie stills  #NTR   #Kajal   #purijagannadh  http://maatv.com/gallery/movie-stills/temper﻿","https://plus.google.com/118097952402108912791"
"27",2015-02-05 10:54:29,7.76021948707049,"z133ypkx5ubzw3ep004cibrj1y24ztqh3co","104601341883208436745","post",1,18,2,"photo","#Temper movie stills  #NTR   #Kajal   #purijagannadh  http://maatv.com/gallery/movie-stills/temper﻿","https://plus.google.com/104601341883208436745"
"28",2015-02-05 08:12:20,7.87282556228064,"z12ptd2ynmrqtpeeq23cvjeqxqu5d5sim04","100041784980600939646","post",0,0,0,"photo","Maybelline Colossal Kajal 12HAvailable at Just4Girls.pk Just as reliable and smudge free, but deeper black and fade resistant than before! The improved formula is creamy and glides through- but never smudges!PKR 299Shop online here: http://goo.gl/v99PTe #maybellinenewyork   #eyeliner   #colossal   #eyepencil   #kajal   #just4girlspk  ﻿","https://plus.google.com/100041784980600939646"
"29",2015-02-05 06:31:36,7.94278249761021,"z13uxlw5jyf4fjsr504citegppavxhyq2o00k","102164189729765042835","post",0,0,0,"article","Patanjali Herbal Kajal Review#patanjali #herbal #kajal #review #divalikes #women #beauty #makeup #eyes #eyemakeuphttp://bit.ly/1I6e8jK﻿","https://plus.google.com/102164189729765042835"
"30",2015-02-05 06:30:56,7.94323814988136,"z12cc5eg4nuyebhne23lxvsjklbyhncu5","104601341883208436745","post",0,9,1,"photo","#Temper working stills #NTR #Kajal #PuriJagannadhmore here : http://maatv.com/gallery/working-stills/temper﻿","https://plus.google.com/104601341883208436745"
"31",2015-02-05 06:27:57,7.94531812564642,"z13ffdf4vomjxxlbo04chvswaxbzgjjwht40k","104851070044778838603","post",0,4,0,"article","Celebrity #Cricket League 2015: #Sunil Shetty, Bobby Deol, #Venkatesh, #Nagarjuna, #Kajal Aggarwal cheer for their teams (View Pics)#bobbydeol﻿","https://plus.google.com/104851070044778838603"
"32",2015-02-04 17:09:33,8.49975957689462,"z12lw3254p3xsrk4g04cgbxybvblvnfo3nw0k","103794396723793144162","post",0,1,0,"photo","&quot; #Neeku_Ego_Lopale_Untademo#Naaku_Naa_Chuttu_WiFi_La_Untade &quot;Powerful Dialogue From #Temper Movie#NTR #Tarak #PrakashRaj #PuriJagannadh #Kajal #Tollywood ﻿","https://plus.google.com/103794396723793144162"
"33",2015-02-04 08:38:06,8.85493308971877,"z12xxtuwpoucwvvbz04cghhajqulxhvaiho","111889238420254538920","share",0,0,0,"photo","lets Take a Selfieeeee  ;) #AnushkaShetty  #kajal aggarwal , #Charmy ,#Tamannaah﻿","https://plus.google.com/111889238420254538920"
"34",2015-02-04 04:56:53,9.00855846366673,"z125jlxxtprhuf2qk04cib3ovovnspt4b4w","116277645247750010125","post",0,6,0,"photo"," #Kajal is in no hurry to get married#KajalAggarwal is...http://www.iflicks.in/News/2015/02/04092716/Kajal-is-in-no-hurry-to-get-married.vpf﻿","https://plus.google.com/116277645247750010125"
"35",2015-02-03 10:37:38,9.77192589846198,"z12uyd25dl23vd3nx22zh55pqljgddguo","112741708539543231304","post",0,4,0,"album"," #HundredHearts  Glamorous Charity Dinner Pics#Sachinejoshi    #Akhil     #Adharsh     #Tharun    #Prince   #SudherBabu   #Raghu     #Venkatesh     #Nikhil     #jeeva     #LakshmiRai     #Kajal     #Tamanna     #Radhika     #Vishwa     #NandhaKishore   #Shriya   #PonamKour    ﻿For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"36",2015-02-03 08:08:04,9.8757866090205,"z13udjbyoxawzpva404cjbfg2kaeuvzwke4","105069700762249140042","post",0,1,0,"article","Comedy Express: #Navadeep following #Kajal comedy scene from #Chandamama Movie#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
