"","x"
"1","If Kohli is a number 3, he should be in at the fall of the first wicket, not shielded because of an early loss. Why needlessly change.."
"2","Congress moron calls Nalin Kohli retarded. And says that he's probably drinking vodka during the debate. I have never seen Kohli this angry"
