"","analysis_score","analysis_text"
"47",0,"@creativepagal jam watching #PK again..It's 8th time @AnushkaSharma @amirkhan @PKTheFilm @RajkumarHirani makes me happy all the time I watch"
"48",1,"At least we know what to do if we can't gain entry into the US http://t.co/8b2GBFLoEa
#amirkhan #DavidCameron"
"49",1,"@amirkhan dear sir, 
I am your big fan . i like to you play remake  kaathi(tamil movie) in hindi. That movie related to help for formers."
"50",-1,"RT @timesweekend: The boxer #AmirKhan talks about
why he visited the scene of the Peshawar school massacre http://t.co/brqLZMQ13r http://t.â¦"
"51",1,"@amirkhan pls meet my son. U WL be impressed. Awesome actor in this age.  will share clip of pk he played 9235630074 http://t.co/0rK72nNxbf"
"52",0,"@amirkhan sir. Meet my son he is born actor he is 5yrs old gv chnc in ur mv. Nicly doing pk role at home 9235630074. http://t.co/nLzchXxx4w"
"53",-1,"Watching #PK for the fourth time. It's still very funny #amirkhan"
"54",0,"RT @ISKCONBangalore: PK Movie Answered Part 01 http://t.co/cA2sUwSBib

#PKdebate #PK #AmirKhan http://t.co/MPNvFXegXL"
"55",0,"Aamir Khan's #PK Movie Wrong Number Concept Inspired By Maulana Tariq Jameel http://t.co/YiiA2ZnRT2 #amirkhan #islam"
"56",0,"w/ SET NAME Amirkhan"
"57",1,"Who else can be this innocent........ #amirkhan awesome as always.... â watching PK"
"58",0,"The part where PK talks to God in front of all those moortis...it gives such an emotional turn to the movie...brilliantly done! #AmirKhan"
"59",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"60",-1,"The boxer #AmirKhan talks about
why he visited the scene of the Peshawar school massacre http://t.co/brqLZMQ13r http://t.co/oXlueiQS59"
"61",0,"RT @GiterDoneSports: Amir Khan Is A Serious Threat To Floyd Mayweather #AmirKhan #FloydMayweather #NFLNBAMLBNHLNCAAFNCAABSoccer http://t.coâ¦"
"62",0,"RT @DESIblitz: Amir Khan has called out Floyd Mayweather: http://t.co/ncVgISPhJL @AmirKingKhan #AmirKhan #boxing #FloydMayweather http://t.â¦"
"63",-1,"Mayweather has to fight Pacquiao &amp; Khan he'll always question his legacy &amp; so will we #boxing #Mayweather #Pacquiao #amirkhan @AmirKingKhan"
"64",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"65",1,"@Actor_Kajall @amirkhan I am love or sailut of amir sir"
"66",1,"Pk... Copy .. @AmirKhan love your acting..í ½í¸í ½í¸ http://t.co/gZEOMNOoez"
"67",0,"YEaaaaaaa. "" PK is arrive 1080 PPPPPPPPPPPPPPPPPPPPPPPPP "" :D :D :D &lt;3 &lt;3 #amirkhan"
"68",0,"PK Awesome!!! Your stories are always gorgeoux!! @amirkhan"
"69",1,"- ""Lull"" word is very popular because of #PK. #AmirKhan. í ½í¸±í ½í¸í ½í¸í ½í¸"
"70",1,"@amirkhan  your Research not complete YET ....Dont Attend Wrong Dignity , Allow TobE Join .The tree, whose trunk is soft, has thick branches"
"71",-1,"@amirkhan Fortunate is the one who learns a lesson from the faults of others ,Low ambition causes virtues to cease"
"72",2,"A rich #Emirati boxer has challenged U.S boxing champion @FloydMayweather to take on British boxer #AmirKhan for $5m. http://t.co/ljXiAvjfWh"
"73",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"74",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"75",0,"Amir Khan Is A Serious Threat To Floyd Mayweather #AmirKhan #FloydMayweather #NFLNBAMLBNHLNCAAFNCAABSoccer http://t.co/LnjiXdPQlX"
"76",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"77",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"78",1,"@nabeelqureshi 
#CrimemasterGOGO Ankhe nikaal k gotiyan khelta hon... 
#SalmanKhan #AmirKhan. 
Realy like this film all the time..."
"79",2,"If you focus on quality success comes automatically. Again proven by Amirkhan with making of PK. He deliver quality and get return of 300 cr"
"80",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"81",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"82",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"83",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"84",0,"RT @ISKCONBangalore: PK Movie Answered Part 01 http://t.co/cA2sUwSBib

#PKdebate #PK #AmirKhan http://t.co/MPNvFXegXL"
"85",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"86",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"87",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"88",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"89",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"90",0,"RT @AlArabiya_Eng: #UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"91",0,"#UAE boxer offers #Mayweather $5 million gym if he beats #AmirKhan - http://t.co/x4h5AJvt9R http://t.co/7KOZWTzE0V"
"92",3,"#VOICE_OF_VOICELESS
movie #pk one of the best art in indian cenima
#Amirkhan's acting was best of best act http://t.co/Vc5MQ02FEO"
"93",2,"#amirkhan was brilliant in The Times: Hope he represents the silent majority. Hope for us all. http://t.co/P8kUKpkeV4"
"94",0,"Watching PK make us think what religions really are. #PK #amirkhan #weekend #hindustan"
"95",0,"#iSupportMSGinPunjab run for cover #salmankhan #amirkhan at this rate #msg will cross collection of #pk also 300cr #lol"
"96",0,"#Boxer #AmirKhan called in a favour PM after he was denied U.S. visa http://t.co/nc9WJC3FFt via @MailOnline"
"97",0,"@shankarshanmugh plz try this I team INDIIAN remake amirkhan !!!"
"98",0,"RT @ISKCONBangalore: PK Movie Answered Part 01 http://t.co/cA2sUwSBib

#PKdebate #PK #AmirKhan http://t.co/MPNvFXegXL"
"99",0,"@amirkhan your donations are awaited for SKMCH peshawar"
