"","x"
"1","@CNNSitRoom @TulsiGabbard Obama is going after those who are our enemies. And that's all that really matters. Your frustration is illogical."
"2","@barbarindian @kailashkaushik8 so u mke sonia godwomn just144seats dalalmedia amirkhan idiots bharstmev jayte fakeman now cry idiots leftist"
"3","@krisfade dnt thnk AmirKhan allwd 2 punch u,i hrd(nt sre).Prof boxrs r nt allwed 2 usetheir fist 2 ordinry ppl as its cnsidr as deadly weapn"
"4","@miJ_rverseGame @AmirKhan__ you dumb retard just Salk in this loss lmfao í ½í¸í ½í¸­í ½í¸í ½í¸­"
"5","#AmirKhan #BollywoodNewsPlea on #PK dismissed.http://bit.ly/1xQLvPDThe Delhi High Court has dismissed the plea on &#39;PK&#39; movie as the Bench did not find any offensive or hurting the sentiments of certain religions.Â ï»¿"
