"","word","freq"
"fundingwhats","fundingwhats",11
"gets","gets",11
"ill","ill",11
"interest","interest",11
"invitedto","invitedto",11
"krish","krish",11
"look","look",11
"muslim","muslim",11
"nds","nds",11
"neither","neither",11
"nowhas","nowhas",11
"person","person",11
"poll","poll",11
"problem","problem",11
"promisedmy","promisedmy",11
"ramlila","ramlila",11
"report","report",11
"shazia","shazia",11
"sworn","sworn",11
"thing","thing",11
"केजरीवाल","केजरीवाल",11
"akwithambani","akwithambani",10
"also","also",10
"backing","backing",10
"batla","batla",10
"beau","beau",10
"bring","bring",10
"candidates","candidates",10
"delivery","delivery",10
"extremely","extremely",10
"going","going",10
"indays","indays",10
"just","just",10
"know","know",10
"make","make",10
"mrkejriwal","mrkejriwal",10
"passionate","passionate",10
"safety","safety",10
"statehood","statehood",10
"appeal","appeal",9
"arvin","arvin",9
"basis","basis",9
"bjps","bjps",9
"call","call",9
"challengewell","challengewell",9
"choice","choice",9
"congratulate","congratulate",9
"giving","giving",9
"ground","ground",9
"must","must",9
"open","open",9
"threatened","threatened",9
"video","video",9
"votes","votes",9
"wants","wants",9
"work","work",9
"wrong","wrong",9
"amit","amit",8
"case","case",8
"childrens","childrens",8
"congs","congs",8
"corruption","corruption",8
"criticized","criticized",8
"debatebedivskejriwal","debatebedivskejriwal",8
"delhielection","delhielection",8
"dharm","dharm",8
"evil","evil",8
"hadnt","hadnt",8
"happen","happen",8
"heads","heads",8
"ilmi","ilmi",8
"indeed","indeed",8
"jantar","jantar",8
"key","key",8
"mantar","mantar",8
"name","name",8
"negative","negative",8
"question","question",8
"responds","responds",8
"saykejriw","saykejriw",8
"seat","seat",8
"shah","shah",8
"sheila","sheila",8
"unlike","unlike",8
"videos","videos",8
"wondering","wondering",8
"adleaders","adleaders",7
"agree","agree",7
"anyway","anyway",7
"bhagoda","bhagoda",7
"calls","calls",7
"declaring","declaring",7
"dikshitbut","dikshitbut",7
"disrupt","disrupt",7
"exclusive","exclusive",7
"fails","fails",7
"fighter","fighter",7
"finally","finally",7
"fir","fir",7
"following","following",7
"herht","herht",7
"hoardings","hoardings",7
"india","india",7
"insulted","insulted",7
"joining","joining",7
"lies","lies",7
"martyrs","martyrs",7
