"","word","freq"
"keep","keep",9
"live","live",9
"lovetoseemsgfeb","lovetoseemsgfeb",9
"night","night",9
"old","old",9
"pic","pic",9
"pictures","pictures",9
"playing","playing",9
"please","please",9
"plus","plus",9
"purijagan","purijagan",9
"real","real",9
"remain","remain",9
"say","say",9
"story","story",9
"temperaudio","temperaudio",9
"tempermaniatemper","tempermaniatemper",9
"times","times",9
"types","types",9
"vijayakanth","vijayakanth",9
"wait","wait",9
"amazing","amazing",8
"boctemper","boctemper",8
"comic","comic",8
"complaints","complaints",8
"congratskajalall","congratskajalall",8
"darling","darling",8
"dexterity","dexterity",8
"dog","dog",8
"double","double",8
"enough","enough",8
"filmrelease","filmrelease",8
"find","find",8
"flop","flop",8
"forkajal","forkajal",8
"fought","fought",8
"free","free",8
"goodwill","goodwill",8
"gtgtpatanjali","gtgtpatanjali",8
"help","help",8
"hilarious","hilarious",8
"india","india",8
"last","last",8
"liked","liked",8
"link","link",8
"long","long",8
"mascara","mascara",8
"maybellineinstaglamgiftkit","maybellineinstaglamgiftkit",8
"meaning","meaning",8
"openingsfantastic","openingsfantastic",8
"proud","proud",8
"racha","racha",8
"rama","rama",8
"seeing","seeing",8
"side","side",8
"sight","sight",8
"small","small",8
"station","station",8
"stolen","stolen",8
"temperfromthfeb","temperfromthfeb",8
"whos","whos",8
"win","win",8
"world","world",8
"wrong","wrong",8
"able","able",7
"anooprubbens","anooprubbens",7
"badlapur","badlapur",7
"big","big",7
"ccl","ccl",7
"certificate","certificate",7
"climax","climax",7
"enjoy","enjoy",7
"entire","entire",7
"grandson","grandson",7
"happiness","happiness",7
"hate","hate",7
"heroine","heroine",7
"indian","indian",7
"lakme","lakme",7
"lip","lip",7
"loving","loving",7
"ntrsacting","ntrsacting",7
"poster","poster",7
"really","really",7
"right","right",7
"rock","rock",7
"runnerup","runnerup",7
"sentiment","sentiment",7
"shooting","shooting",7
"srikakulam","srikakulam",7
"superb","superb",7
"temp","temp",7
"well","well",7
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼",6
"aap","aap",6
"act","act",6
"action","action",6
"ambassador","ambassador",6
"around","around",6
"bashes","bashes",6
"bee","bee",6
"bestand","bestand",6
"bless","bless",6
"buzz","buzz",6
"calls","calls",6
"carrear","carrear",6
"children","children",6
"coming","coming",6
"county","county",6
"coz","coz",6
"cuts","cuts",6
"datetemper","datetemper",6
"dialogues","dialogues",6
"dinner","dinner",6
"even","even",6
"everyone","everyone",6
"eyeconic","eyeconic",6
"fight","fight",6
"grand","grand",6
"head","head",6
